,subj 1,subj 2,subj 3,subj 4,subj 5,subj 6,subj 7,subj 8,subj 9,subj 10,subj 11,subj 12,subj 13,subj 14,subj 15,subj 16,subj 17,subj 18,subj 19,subj 20,subj 21,subj 22,subj 23,subj 24,subj 25,subj 26,subj 27,subj 28,subj 29,subj 30,subj 31,subj 32,subj 33,subj 34,subj 35,subj 36,subj 37,subj 38,subj 39,subj 40,sum
CROWDRUN_plr0_0,4.79,5,5,4.74,5,5,4.53,4.64,5,5,5,5,5,3.96,5,5,5,5,5,4.64,4.5,5,4.53,4.48,5,4.74,5,4.92,4.82,5,4.12,4.75,4.69,4.64,3.03,4.35,4.75,4.66,4.33,5,4.74
CROWDRUN_plr0.1_4374,3.52,4.92,4.25,3.89,4.02,5,4.64,3.52,4.33,3.47,3.65,3.47,3.83,4.59,3.39,5,5,4.09,3.75,4.02,4.2,3.78,4.56,4.46,4.82,4.4,4.43,4.74,4.79,4.79,3.42,4.92,4.4,4.38,4.66,4.53,3.75,4.22,4.27,5,4.27
CROWDRUN_plr0.1_6859,3.65,3.7,3.96,3.6,3.5,1.66,2.56,2.95,3.16,3.19,2.44,2.51,3,3.29,3.45,3.11,3.03,2.88,3.5,3.86,3.16,3.21,3.5,4.3,4.27,3.42,3.47,3.68,4.27,4.82,4.04,3.5,3.42,3.52,2.77,3.42,4,2.62,4.07,2.25,3.37
CROWDRUN_plr0.4_8022,3.86,3.52,3.89,4.35,3.77,3.32,3.52,3.19,3.81,3.39,3.39,3.34,3.25,3.16,2.49,3.7,3.19,2.9,3.52,4.3,4.02,3.55,3.52,2.95,4.25,3.76,4.22,3.5,3.83,3.29,4.46,4.5,3.58,4.09,4.12,2.38,3.25,4.46,4.04,3.7,3.63
CROWDRUN_plr0.4_6859,2.56,2.88,3.52,3.6,2.75,2.75,1.53,3.01,2.41,3.86,2.88,1.87,3.25,2.41,2.51,2.9,2.54,2.85,2.25,3.73,3,3.26,3.6,3.5,3.83,3.94,2.02,3.7,3.37,2.05,3.13,3.25,2.8,2.75,3.83,3.42,3.75,4.53,4.09,4,3.1
CROWDRUN_plr1_4003,2.67,2.9,3.08,3.37,1.5,1.81,2.02,2.23,3,2.69,2.38,1.53,2.25,1.99,2.54,1.66,2.25,2.36,2.5,2.12,2.51,3.99,2.62,2.59,3.37,2.95,1.99,2.46,1.89,3.16,3.26,3.39,2.12,3,2.23,3.16,3.25,1.97,2.82,2.51,2.55
CROWDRUN_plr1_167,2.64,2.8,3.01,3.65,2.95,0.85,2.98,2.2,3.68,2.8,2.64,2.28,2.2,2.62,1.37,2.88,2.46,2.54,2.75,3.21,2.25,3.16,3.45,3.5,3.6,3.13,2.46,2.88,3.78,3.24,3.16,3,3.03,3,2.25,2.2,2.5,1.22,3.83,2.25,2.76
CROWDRUN_plr3_8297,2.82,1.97,3.24,2.02,2.5,0,0.54,1.58,0.75,2.05,2.51,2.41,1.5,1.5,2.54,2.46,2.46,1.92,1.75,2.38,2,3.42,2.54,1.99,3.01,1.84,1.74,2.49,2.8,1.3,3.42,3.75,2.69,2.25,3.21,2.28,3.25,2.82,3.52,2.5,2.29
CROWDRUN_plr3_7393,2.1,1.87,2.93,2.49,0,2.12,1.04,1.06,1.43,1.48,1.22,1.24,1.4,1.48,1.53,1.48,1.79,1.32,1.5,2.62,1.75,0.8,2.49,1.81,2.56,1.5,1.55,1.13,2.54,1.01,1.66,2.75,1.74,1.75,2.33,2.31,2.5,0.98,1.94,2.5,1.74
CROWDRUN_plr5_2081,1.76,0.85,1.27,2.95,0.25,2.54,0,0.98,1.11,0.8,1.11,0.18,1.11,0.5,0.36,1.5,1.09,0.28,1.5,2.25,1.97,1.35,0.52,1.53,2.51,1.97,0.8,1.32,0.36,0.88,1.37,1.99,1.58,1.58,1.14,2.8,1,1.09,1.42,0,1.24
