Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score
src01_hrc18, src01_hrc00_, 640x480, yuv422p, 38.5574290641, 2.407407407
src01_hrc13, src01_hrc00_, 640x480, yuv422p, 91.0749818504, 4.481481481
src01_hrc23, src01_hrc00_, 640x480, yuv422p, 64.9627770958, 2.333333333
src01_hrc11, src01_hrc00_, 640x480, yuv422p, 63.1312933919, 2.333333333
src01_hrc28, src01_hrc00_, 640x480, yuv422p, 43.965173789, 1.111111111
src01_hrc06, src01_hrc00_, 640x480, yuv422p, 81.4243871341, 3.518518519
src01_hrc17, src01_hrc00_, 640x480, yuv422p, 45.5525560601, 2.888888889
src01_hrc08, src01_hrc00_, 640x480, yuv422p, 52.7120800659, 2.222222222
src01_hrc07, src01_hrc00_, 640x480, yuv422p, 66.0828833369, 2.481481481
src01_hrc03, src01_hrc00_, 640x480, yuv422p, 71.6501199294, 3.259259259
src01_hrc21, src01_hrc00_, 640x480, yuv422p, 92.1421778436, 4.333333333
src01_hrc04, src01_hrc00_, 640x480, yuv422p, 59.7999488947, 2.777777778
src01_hrc12, src01_hrc00_, 640x480, yuv422p, 43.3575792082, 1.555555556
src01_hrc16, src01_hrc00_, 640x480, yuv422p, 39.3971940494, 1.518518519
src01_hrc10, src01_hrc00_, 640x480, yuv422p, 80.949811068, 3.777777778
src01_hrc02, src01_hrc00_, 640x480, yuv422p, 82.6694675016, 3.740740741
src01_hrc24, src01_hrc00_, 640x480, yuv422p, 40.3412563581, 1.37037037
src01_hrc09, src01_hrc00_, 640x480, yuv422p, 90.9074452383, 4.111111111
src01_hrc20, src01_hrc00_, 640x480, yuv422p, 16.838796504, 1.037037037
src01_hrc14, src01_hrc00_, 640x480, yuv422p, 81.6186734205, 3.62962963
src01_hrc15, src01_hrc00_, 640x480, yuv422p, 63.1417615769, 2.148148148
src01_hrc19, src01_hrc00_, 640x480, yuv422p, 27.9897196619, 1.407407407
src01_hrc01, src01_hrc00_, 640x480, yuv422p, 91.1267536005, 4.111111111
src01_hrc22, src01_hrc00_, 640x480, yuv422p, 82.9381401898, 3.703703704
src01_hrc05, src01_hrc00_, 640x480, yuv422p, 90.8826331977, 4.148148148
src10_hrc03, src10_hrc00_, 640x480, yuv422p, 65.7545422873, 2.037037037
src10_hrc17, src10_hrc00_, 640x480, yuv422p, 44.6327139531, 2.481481481
src10_hrc24, src10_hrc00_, 640x480, yuv422p, 30.6134970268, 1.037037037
src10_hrc19, src10_hrc00_, 640x480, yuv422p, 23.2778763478, 1.037037037
src10_hrc10, src10_hrc00_, 640x480, yuv422p, 73.6669257907, 2.777777778
src10_hrc02, src10_hrc00_, 640x480, yuv422p, 77.6150106346, 2.962962963
src10_hrc13, src10_hrc00_, 640x480, yuv422p, 86.8368874319, 4.185185185
src10_hrc14, src10_hrc00_, 640x480, yuv422p, 73.758372334, 3
src10_hrc04, src10_hrc00_, 640x480, yuv422p, 55.5653110118, 2
src10_hrc07, src10_hrc00_, 640x480, yuv422p, 56.8657314845, 1.740740741
src10_hrc22, src10_hrc00_, 640x480, yuv422p, 76.539211793, 3.037037037
src10_hrc09, src10_hrc00_, 640x480, yuv422p, 86.8037434173, 4.074074074
src10_hrc21, src10_hrc00_, 640x480, yuv422p, 89.0217334125, 4.111111111
src10_hrc05, src10_hrc00_, 640x480, yuv422p, 86.9752929822, 3.925925926
src10_hrc28, src10_hrc00_, 640x480, yuv422p, 40.8185829166, 1.074074074
src10_hrc15, src10_hrc00_, 640x480, yuv422p, 51.7860839579, 1.62962963
src10_hrc23, src10_hrc00_, 640x480, yuv422p, 53.661445596, 1.62962963
src10_hrc08, src10_hrc00_, 640x480, yuv422p, 45.3589575022, 1.444444444
src10_hrc11, src10_hrc00_, 640x480, yuv422p, 52.5691297328, 1.62962963
src10_hrc20, src10_hrc00_, 640x480, yuv422p, 16.7152917248, 1
src10_hrc06, src10_hrc00_, 640x480, yuv422p, 74.7169774457, 3.111111111
src10_hrc18, src10_hrc00_, 640x480, yuv422p, 34.3529008244, 1.814814815
src10_hrc01, src10_hrc00_, 640x480, yuv422p, 87.5129762756, 4.074074074
src10_hrc16, src10_hrc00_, 640x480, yuv422p, 30.8988873454, 1.185185185
src10_hrc12, src10_hrc00_, 640x480, yuv422p, 34.4754773873, 1.037037037
src11_hrc07, src11_hrc00_, 640x480, yuv422p, 67.6908071359, 2.074074074
src11_hrc24, src11_hrc00_, 640x480, yuv422p, 36.6634953385, 1.111111111
src11_hrc12, src11_hrc00_, 640x480, yuv422p, 42.5669622104, 1.222222222
src11_hrc03, src11_hrc00_, 640x480, yuv422p, 75.5469049285, 2.814814815
src11_hrc09, src11_hrc00_, 640x480, yuv422p, 90.3064909969, 4.333333333
src11_hrc17, src11_hrc00_, 640x480, yuv422p, 55.7472022946, 2.814814815
src11_hrc11, src11_hrc00_, 640x480, yuv422p, 62.7513091919, 1.814814815
src11_hrc13, src11_hrc00_, 640x480, yuv422p, 90.4328215337, 4.296296296
src11_hrc05, src11_hrc00_, 640x480, yuv422p, 90.4927078604, 4.333333333
src11_hrc15, src11_hrc00_, 640x480, yuv422p, 62.3651756968, 1.851851852
src11_hrc23, src11_hrc00_, 640x480, yuv422p, 62.9751521227, 1.888888889
src11_hrc06, src11_hrc00_, 640x480, yuv422p, 81.6626978745, 3.296296296
src11_hrc21, src11_hrc00_, 640x480, yuv422p, 91.3619079045, 4.296296296
src11_hrc10, src11_hrc00_, 640x480, yuv422p, 80.796059316, 3.444444444
src11_hrc19, src11_hrc00_, 640x480, yuv422p, 31.930412664, 1.222222222
src11_hrc08, src11_hrc00_, 640x480, yuv422p, 57.2119466173, 2.148148148
src11_hrc02, src11_hrc00_, 640x480, yuv422p, 83.836628428, 3.444444444
src11_hrc18, src11_hrc00_, 640x480, yuv422p, 47.1282827369, 2.037037037
src11_hrc28, src11_hrc00_, 640x480, yuv422p, 43.8662246104, 1.148148148
src11_hrc16, src11_hrc00_, 640x480, yuv422p, 36.3198257747, 1
src11_hrc20, src11_hrc00_, 640x480, yuv422p, 18.3370297126, 1.037037037
src11_hrc04, src11_hrc00_, 640x480, yuv422p, 68.0133785284, 2.444444444
src11_hrc01, src11_hrc00_, 640x480, yuv422p, 90.8413588353, 4.259259259
src11_hrc14, src11_hrc00_, 640x480, yuv422p, 80.9699973895, 3.555555556
src11_hrc22, src11_hrc00_, 640x480, yuv422p, 82.0435669095, 3.592592593
src13_hrc12, src13_hrc00_, 640x480, yuv422p, 30.6216899094, 1.148148148
src13_hrc01, src13_hrc00_, 640x480, yuv422p, 85.0817890379, 4.481481481
src13_hrc23, src13_hrc00_, 640x480, yuv422p, 53.437407871, 2.481481481
src13_hrc08, src13_hrc00_, 640x480, yuv422p, 43.8514311698, 1.62962963
