Source_file,Ref_video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score, PSNR, SSIM, MS_SSIM, frame,blockiness, spatialactivity, letterbox, pillarbox, blockloss, blur, temporalact, blockout, freezing, exposure, contrast, brightness, interlace,noise,slice, flickering,fps
CROWDRUN_plr10_4374, CROWDRUN_, 704x576,  I420, 54.791487665, 0.64, 22.417545, 0.845335, 0.876474, 250, 0.81669288, 138.58977792, 0,0, 1.632, 3.15928, 37.35922436, 0, 0,113.504, 43.24312704, 0.00270292 ,4.69756, 3.3759, -0.81931308, #DIV/0!, 25
CROWDRUN_plr3_7393, CROWDRUN_, 704x576,  I420, 87.7357335015, 1.74, 29.629389, 0.949216, 0.959684, 250, 0.89521732, 136.60841488, 0,0, 0.504, 3.301124, 36.77420688, 0, 0,114.264, 43.61414944, 0.00202056 ,4.92932, 3.36098, -0.833842, #DIV/0!, 25
CROWDRUN_plr0.4_8022, CROWDRUN_, 704x576,  I420, 99.9852456607, 3.63, 46.042491, 0.995081, 0.996301, 250, 0.93165168, 135.92221196, 0,0, 0.215, 3.373436, 36.43519992, 0, 0,114.968, 43.6651346, 0.0017728 ,4.88668, 3.495664, -0.84372088, #DIV/0!, 25
CROWDRUN_plr1_4003, CROWDRUN_, 704x576,  I420, 97.4315357663, 2.55, 35.010553, 0.975541, 0.978046, 250, 0.91512748, 135.8129322, 0,0, 0.417, 3.345024, 36.51827744, 0, 0,115.168, 43.56951872, 0.0019252 ,4.7662, 3.499508, -0.84050788, #DIV/0!, 25
CROWDRUN_plr0.1_6859, CROWDRUN_, 704x576,  I420, 99.9897120296, none, 49.306734, 0.996099, 0.996585, 250, 0.93515076, 135.77678388, 0,0, 0.228, 3.380312, 36.41976952, 0, 0,115.512, 43.6483602, 0.00178064 ,4.91412, 3.513716, -0.84530776, #DIV/0!, 25
CROWDRUN_plr0.4_6859, CROWDRUN_, 704x576,  I420, 98.8469280563, 3.1, 45.003829, 0.989945, 0.991642, 250, 0.92623236, 136.29668708, 0,0, 0.298, 3.360884, 36.55989892, 0, 0,114.704, 43.7143732, 0.00180004 ,4.90504, 3.497784, -0.84464464, #DIV/0!, 25
CROWDRUN_plr0.1_4374.264, CROWDRUN_, 704x576,  I420, 99.9897120296, none, 55.216171, 0.997808, 0.998382, , , , ,, , , , , ,, ,  ,, , , , 
CROWDRUN_plr5_2081, CROWDRUN_, 704x576,  I420, 74.0037669064, 1.24, 26.572014, 0.904369, 0.922841, 250, 0.86702896, 136.5487802, 0,0, 0.882, 3.266472, 36.89841428, 0, 0,113.044, 43.38245432, 0.00233092 ,4.47456, 3.475704, -0.82798692, #DIV/0!, 25
CROWDRUN_plr10_4109, CROWDRUN_, 704x576,  I420, 59.6390006996, 0.75, 23.555603, 0.865987, 0.889966, 250, 0.82539344, 139.05332988, 0,0, 2.392, 3.177132, 37.32635892, 0, 0,114.376, 43.67987128, 0.00254624 ,4.79248, 3.267544, -0.8223394, #DIV/0!, 25
CROWDRUN_plr0.1_4374, CROWDRUN_, 704x576,  I420, 99.9897120296, none, 55.216171, 0.997808, 0.998382, 250, 0.93606432, 135.85700136, 0,0, 0.191, 3.379952, 36.42796556, 0, 0,115.26, 43.65983584, 0.00177172 ,4.91408, 3.500288, -0.84546828, #DIV/0!, 25
CROWDRUN_plr1_167, CROWDRUN_, 704x576,  I420, 98.9913244532, 2.76, 36.598753, 0.984853, 0.988363, 250, 0.92569408, 135.73845892, 0,0, 0.289, 3.367176, 36.46255068, 0, 0,114.988, 43.57406764, 0.00181664 ,4.85972, 3.503556, -0.83941052, #DIV/0!, 25
