Source_file,Ref_video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score, PSNR, SSIM, MS_SSIM, frame,blockiness, spatialactivity, letterbox, pillarbox, blockloss, blur, temporalact, blockout, freezing, exposure, contrast, brightness, interlace,noise,slice, flickering,fps
TV01_1080p30_1_7s, RV01_1080p30_, 1920x1080,  I420, 26.5719823117, 74.3125, 19.323105, 0.522765, 0.551639, 2727, 0.925469842318, 59.8599116905, 0,0, 1.72045432343, 5.96927576091, 11.2110411881, 0, 0,124.580491382, 55.6166790099, 0.000466596993033 ,0.675313531353, 9.05588522186, -0.809921400807, #DIV/0!, 30
TV01_1080p30_2_2s, RV01_1080p30_, 1920x1080,  I420, 14.8816050965, 76.375, 17.534752, 0.471459, 0.488999, 3176, 0.92295256927, 55.5265053873, 0,0, 1.60272332809, 6.77167474811, 12.2598368923, 0, 0,122.942695214, 52.3026819081, 0.000402896725441 ,0.648085642317, 8.36785044081, -0.808457345718, #DIV/0!, 30
TV02_1080p30_2_5s, RV02_1080p30_, 1920x1080,  I420, 4.29475486776, 76.1875, 11.846501, 0.364061, 0.374950, 5600, 0.8717628375, 46.5017834429, 0,0.0231692714286, 3.074923525, 5.64669714286, 51.9905728946, 0, 0,132.219107143, 32.8471130696, 0.002100675 ,0.473594642857, 5.89028285714, -0.839061396429, #DIV/0!, 30
TV02_1080p30_4_9s, RV02_1080p30_, 1920x1080,  I420, 3.62668477967, 50.375, 12.490334, 0.370999, 0.380459, 7680, 0.889332471354, 42.4317291602, 0,0.0195295494792, 5.91694557552, 6.95454986979, 53.1059950182, 0, 0,132.619791667, 33.427511931, 0.00130431770833 ,0.397713541667, 5.88373971354, -0.832805136719, #DIV/0!, 30
TV03_1080p30_2_9s, RV03_1080p30_, 1920x1080,  I420, 3.57236360134, 54.875, 15.105462, 0.367410, 0.364236, 6240, 0.935327253205, 41.3831598638, 0,1.66666666667e-07, 2.45964392628, 6.40212948718, 40.7700960224, 0, 0,131.257852564, 23.4421704535, 0.000723036858974 ,0.614333333333, 8.55022532051, -0.858066891026, #DIV/0!, 30
TV03_1080p30_4_2s, RV03_1080p30_, 1920x1080,  I420, 5.56537079686, 77.25, 16.263324, 0.350668, 0.336966, 4080, 0.963981916667, 65.7649444118, 0,0, 1.1078431201, 5.44842573529, 11.1930496176, 0, 0,134.876960784, 30.1611247377, 0.000336848039216 ,1.22762990196, 2.50917377451, -0.829281384804, #DIV/0!, 30
TV04_1080p30_3_1s, RV04_1080p30_, 1920x1080,  I420, 17.7227610701, 76.5, 17.995262, 0.482573, 0.492554, 3780, 0.918622740741, 75.3079172407, 0,0, 1.67995048148, 4.9660505291, 11.7538547381, 0, 0,130.641798942, 42.3957422381, 0.0019674973545 ,1.27884656085, 3.95551878307, -0.805986304233, #DIV/0!, 30
TV04_1080p30_0.5_5s, RV04_1080p30_, 1920x1080,  I420, 20.8350889168, 85.4375, 18.586783, 0.478919, 0.489956, 3750, 0.921908058667, 72.9189327067, 0,0, 1.66374273333, 5.19693653333, 11.8057931653, 0, 0,130.632, 41.8665007707, 0.00102887733333 ,1.21972266667, 3.82378106667, -0.804709584, #DIV/0!, 30
TV05_1080p25_0.5_2s, RV05_1080p25_, 1920x1080,  I420, 8.74475455427, 88.9375, 12.034520, 0.200260, 0.228302, 3557, 0.923505603036, 64.0943941439, 0.0132133820635,0.0132163086871, 1.26947865617, 4.9597171774, 55.1732986899, 0.00674725892606, 0,131.426482991, 35.0298902558, 0.00267458251335 ,1.33470902446, 4.92561203261, -0.856267762159, #DIV/0!, 25
TV05_1080p25_5_3s, RV05_1080p25_, 1920x1080,  I420, 9.03540769088, 51.625, 12.167832, 0.188858, 0.216186, 5000, 0.935927068, 53.009762264, 0.01914408,0.02921043, 2.059007018, 5.8302848, 54.288605888, 0.0098, 0,130.4668, 33.745647072, 0.00137671 ,1.16725, 5.1029668, -0.853990902, #DIV/0!, 25
TV06_1080p60_5_7s, RV06_1080p60_, 1920x1080,  I420, 8.10914019884, 45.9375, 13.208871, 0.381552, 0.404816, 5639, 0.957456878879, 68.5999451924, 0,0, 2.45465962582, 4.27614931725, 10.7093171804, 0, 0,128.38251463, 46.1392139723, 0.00171011881539 ,1.1645805994, 5.5121056925, -0.813400054974, #DIV/0!, 60
TV06_1080p60_1_3s, RV06_1080p60_, 1920x1080,  I420, 14.3236284819, 76.25, 16.379704, 0.544575, 0.546716, 2666, 0.963878848462, 72.6883530008, 0,0, 1.8932457952, 3.75407689422, 12.9883358552, 0, 0,126.848462116, 47.3206066317, 0.00235436984246 ,1.27184171043, 7.15455213803, -0.80024668042, #DIV/0!, 60
TV07_1080p30_4_5s, RV07_1080p30_, 1920x1080,  I420, 1.24074986687, 72.125, 12.407898, 0.455072, 0.504326, 4402, 0.841300542935, 24.1633073944, 0,2.88755111313e-05, 2.73899032031, 7.60341390277, 57.7448620059, 0, 0,119.351658337, 32.0879130918, 0.000467153566561 ,0.379475238528, 16.5171424353, -0.857669947751, #DIV/0!, 30
TV07_1080p30_0.5_9s, RV07_1080p30_, 1920x1080,  I420, 61.3483085671, 79.9375, 32.498049, 0.813398, 0.814940, 3870, 0.889294284238, 31.0746141938, 0,0.000111664082687, 4.0562755478, 7.60386485788, 10.2228130956, 0, 0,122.611111111, 43.0810992713, 0.000100002583979 ,0.380439276486, 19.3841927649, -0.81301229199, #DIV/0!, 30
TV08_1080p24_3_7s, RV08_1080p24_, 1920x1080,  I420, 18.2192727814, 70.25, 15.223346, 0.427421, 0.472821, , , , ,, , , , , ,, ,  ,, , , , 
RV08_1080p24, RV08_1080p24_, 1920x1080,  I420, 99.2911309985, 97.4375, 60.000000, 0.999731, 0.999757, 2880, 0.996053381944, 49.2091389896, 0.000694444444444,0.000694444444444, 2.17627700694, 4.54838611111, 8.39947707986, 0.00277777777778, 0,129.879513889, 46.0538013403, 0.000715965277778 ,0.983569444444, 7.01307743056, -0.817508916667, #DIV/0!, 24
