Source_file,Ref_video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score, PSNR, SSIM, MS_SSIM, frame,blockiness, spatialactivity, letterbox, pillarbox, blockloss, blur, temporalact, blockout, freezing, exposure, contrast, brightness, interlace,noise,slice, flickering,fps,two_res,one_res,duration
src01_hrc18, src01_hrc00_, 640x480, yuv422p,38.55742906,2.407407407,26.952956,0.804603,0.901231,480,1.050002021,37.78442731,0,0,0,0,50.00831327,0,0,129.9895833,35.95011731,0.626340167,31.51329167,4.621839583,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc13, src01_hrc00_, 640x480, yuv422p,91.07498185,4.481481481,39.526505,0.988825,0.995456,480,1.052017771,55.75456756,0,0,0,0,52.18615813,0,0,130.2958333,37.49284731,0.638408792,32.17435417,5.538458333,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc23, src01_hrc00_, 640x480, yuv422p,64.9627771,2.333333333,32.060784,0.943648,0.972117,480,1.046355667,51.2325034,0,0,0,0,51.3320521,0,0,130.6291667,36.89719296,0.642806854,31.74316667,5.986033333,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc11, src01_hrc00_, 640x480, yuv422p,63.13129339,2.333333333,31.780468,0.939794,0.969953,480,1.047586875,51.23866302,0,0,0,0,51.35444354,0,0,130.3708333,36.90109713,0.562548521,31.59391667,4.9451125,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc28, src01_hrc00_, 640x480, yuv422p,43.96517379,1.111111111,29.189854,0.804681,0.883513,480,1.048937667,41.3374519,0,0,0,0,49.64762344,0,0,129.9375,35.72299396,0.542814708,31.56216667,5.369204167,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc06, src01_hrc00_, 640x480, yuv422p,81.42438713,3.518518519,35.628258,0.973579,0.988312,480,1.051138042,53.97200277,0,0,0,0,51.93067792,0,0,130.2895833,37.30330077,0.620463813,31.8135625,5.069745833,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc17, src01_hrc00_, 640x480, yuv422p,45.55255606,2.888888889,27.497994,0.827574,0.916398,480,1.051152104,39.14138721,0,0,0,0,50.32351381,0,0,129.7375,36.18690531,0.66562875,31.6203125,6.405620833,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc08, src01_hrc00_, 640x480, yuv422p,52.71208007,2.222222222,29.339778,0.888969,0.945867,480,1.050471813,45.48233877,0,0,0,0,50.63094573,0,0,129.8416667,36.40211746,0.619875104,31.921375,5.161345833,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc07, src01_hrc00_, 640x480, yuv422p,66.08288334,2.481481481,32.046218,0.941646,0.971796,480,1.050101875,50.73651508,0,0,0,0,51.402571,0,0,130.30625,36.93599102,0.606263104,31.765375,5.262039583,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc03, src01_hrc00_, 640x480, yuv422p,71.65011993,3.259259259,32.646348,0.947387,0.976425,480,1.051291333,50.44549292,0,0,0,0,51.508651,0,0,129.9583333,37.02165615,0.646065563,31.79033333,6.508747917,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc21, src01_hrc00_, 640x480, yuv422p,92.14217784,4.333333333,39.877643,0.989676,0.995822,480,1.052217417,56.1000139,0,0,0,0,52.24812352,0,0,130.25,37.54091744,0.669150667,32.118375,5.967902083,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc04, src01_hrc00_, 640x480, yuv422p,59.79994889,2.777777778,29.896556,0.899036,0.953701,480,1.051275917,45.59028696,0,0,0,0,50.80005504,0,0,129.6791667,36.53030196,0.661102354,31.8220625,6.437302083,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc12, src01_hrc00_, 640x480, yuv422p,43.35757921,1.555555556,28.475412,0.874409,0.932857,480,1.047040167,45.997422,0,0,0,0,50.4252829,0,0,130.3145833,36.25017935,0.566463167,31.3878125,5.26338125,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc16, src01_hrc00_, 640x480, yuv422p,39.39719405,1.518518519,28.01922,0.867595,0.925978,480,1.047593583,46.35854619,0,0,0,0,50.24104392,0,0,130.36875,36.073397,0.478740604,31.6169375,4.654670833,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc10, src01_hrc00_, 640x480, yuv422p,80.94981107,3.777777778,35.623901,0.973637,0.988328,480,1.051111875,54.16444221,0,0,0,0,51.91593452,0,0,130.3729167,37.29234002,0.624692813,31.5185625,5.407054167,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc02, src01_hrc00_, 640x480, yuv422p,82.6694675,3.740740741,35.736652,0.973727,0.988628,480,1.051357292,53.77804173,0,0,0,0,51.98971681,0,0,130.23125,37.35236106,0.633553542,31.8138125,5.8568625,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc24, src01_hrc00_, 640x480, yuv422p,40.34125636,1.37037037,28.345644,0.875137,0.930675,480,1.046893583,45.54382125,0,0,0,0,50.16251138,0,0,130.7895833,36.04988469,0.618736958,31.51822917,6.066508333,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc09, src01_hrc00_, 640x480, yuv422p,90.90744524,4.111111111,39.495859,0.988774,0.995423,480,1.052029875,55.70893325,0,0,0,0,52.18235592,0,0,130.2979167,37.48978379,0.639890229,31.94041667,5.713341667,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc20, src01_hrc00_, 640x480, yuv422p,16.8387965,1.037037037,24.555525,0.698631,0.81602,480,1.048044667,32.86516696,0,0,0,0,48.0374329,0,0,129.56875,34.60422069,0.494815813,31.06975,4.34298125,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc14, src01_hrc00_, 640x480, yuv422p,81.61867342,3.62962963,35.656782,0.973798,0.988459,480,1.050405563,54.32492875,0,0,0,0,51.92236244,0,0,130.43125,37.29790063,0.623883896,31.66152083,5.771120833,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc15, src01_hrc00_, 640x480, yuv422p,63.14176158,2.148148148,31.810959,0.940085,0.970177,480,1.047704458,51.42848652,0,0,0,0,51.34610704,0,0,130.58125,36.89359388,0.51783425,32.02310417,4.680827083,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc19, src01_hrc00_, 640x480, yuv422p,27.98971966,1.407407407,25.952748,0.762577,0.869887,480,1.045797917,36.04315825,0,0,0,0,49.40038231,0,0,130.26875,35.53137135,0.577960438,31.4131875,4.9991625,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc01, src01_hrc00_, 640x480, yuv422p,91.1267536,4.111111111,39.429889,0.988496,0.995307,480,1.052560708,55.57327513,0,0,0,0,52.19690146,0,0,130.2104167,37.50301413,0.63307075,32.11872917,5.514920833,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc22, src01_hrc00_, 640x480, yuv422p,82.93814019,3.703703704,35.972315,0.97569,0.989374,480,1.050673188,54.46976617,0,0,0,0,51.98011775,0,0,130.4208333,37.34607827,0.659012979,31.7535625,7.067166667,-0.859635417, #DIV/0!,30,0,1,16
src01_hrc05, src01_hrc00_, 640x480, yuv422p,90.8826332,4.148148148,39.466325,0.98867,0.995381,480,1.052642438,55.62658117,0,0,0,0,52.17406467,0,0,130.2895833,37.48554494,0.635422667,32.01695833,5.290022917,-0.859635417, #DIV/0!,30,0,1,16
src10_hrc03, src10_hrc00_, 640x480, yuv422p,65.75454229,2.037037037,32.37783,0.928242,0.968829,480,1.043800521,61.85194525,0,0,0,0.004166667,39.42019535,0,0,114.3458333,32.75236654,0.610770667,31.72783333,13.29444583,-0.859635417, #DIV/0!,30,0,1,16
src10_hrc17, src10_hrc00_, 640x480, yuv422p,44.63271395,2.481481481,30.308473,0.898098,0.951997,480,1.045889042,58.22317815,0,0,0,0,38.97401256,0,0,114.54375,32.43332081,0.614591917,31.70785417,15.19334583,-0.859635417, #DIV/0!,30,0,1,16
src10_hrc24, src10_hrc00_, 640x480, yuv422p,30.61349703,1.037037037,28.78577,0.866722,0.916669,480,1.048481458,57.99072177,0,0,0,0,37.44357917,0,0,113.8958333,31.65040121,0.646270396,31.1784375,56.73195208,-0.859635417, #DIV/0!,30,0,1,16
src10_hrc19, src10_hrc00_, 640x480, yuv422p,23.27787635,1.037037037,28.132272,0.847434,0.906498,480,1.052814083,55.77227415,0,0,0,0,37.4770304,0,0,114.0625,31.64542796,0.6210875,31.10204167,95.16071042,-0.859635417, #DIV/0!,30,0,1,16
src10_hrc10, src10_hrc00_, 640x480, yuv422p,73.66692579,2.777777778,35.016294,0.960771,0.982101,480,1.044975396,65.25853944,0,0,0,0,40.03773104,0,0,114.7354167,33.06195938,0.589341854,32.24385417,18.16892917,-0.859635417, #DIV/0!,30,0,1,16
src10_hrc02, src10_hrc00_, 640x480, yuv422p,77.61501063,2.962962963,35.089216,0.960453,0.98255,480,1.043540313,65.20056075,0,0,0,0,40.22165129,0,0,114.51875,33.17477488,0.581402188,32.25854167,11.43796042,-0.859635417, #DIV/0!,30,0,1,16
