Source_file,Ref_video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score, PSNR, SSIM, MS_SSIM, frame,blockiness, spatialactivity, letterbox, pillarbox, blockloss, blur, temporalact, blockout, freezing, exposure, contrast, brightness, interlace,noise,slice, flickering,fps,two_res,one_res,duration
TV01_1080p30_1_7s, RV01_1080p30_, 1920x1080,  I420,26.57198231,74.3125,19.323105,0.522765,0.551639,2727,0.925469842,59.85991169,0,0,1.720454323,5.969275761,11.21104119,0,0,124.5804914,55.61667901,0.000466597,0.675313531,9.055885222,-0.809921401, #DIV/0!,30,1,0,90.9
TV01_1080p30_2_2s, RV01_1080p30_, 1920x1080,  I420,14.8816051,76.375,17.534752,0.471459,0.488999,3176,0.922952569,55.52650539,0,0,1.602723328,6.771674748,12.25983689,0,0,122.9426952,52.30268191,0.000402897,0.648085642,8.367850441,-0.808457346, #DIV/0!,30,1,0,105.8666667
TV02_1080p30_2_5s, RV02_1080p30_, 1920x1080,  I420,4.294754868,76.1875,11.846501,0.364061,0.37495,5600,0.871762838,46.50178344,0,0.023169271,3.074923525,5.646697143,51.99057289,0,0,132.2191071,32.84711307,0.002100675,0.473594643,5.890282857,-0.839061396, #DIV/0!,30,1,0,186.6666667
TV02_1080p30_4_9s, RV02_1080p30_, 1920x1080,  I420,3.62668478,50.375,12.490334,0.370999,0.380459,7680,0.889332471,42.43172916,0,0.019529549,5.916945576,6.95454987,53.10599502,0,0,132.6197917,33.42751193,0.001304318,0.397713542,5.883739714,-0.832805137, #DIV/0!,30,1,0,256
TV03_1080p30_2_9s, RV03_1080p30_, 1920x1080,  I420,3.572363601,54.875,15.105462,0.36741,0.364236,6240,0.935327253,41.38315986,0,1.67E-07,2.459643926,6.402129487,40.77009602,0,0,131.2578526,23.44217045,0.000723037,0.614333333,8.550225321,-0.858066891, #DIV/0!,30,1,0,208
TV03_1080p30_4_2s, RV03_1080p30_, 1920x1080,  I420,5.565370797,77.25,16.263324,0.350668,0.336966,4080,0.963981917,65.76494441,0,0,1.10784312,5.448425735,11.19304962,0,0,134.8769608,30.16112474,0.000336848,1.227629902,2.509173775,-0.829281385, #DIV/0!,30,1,0,136
TV04_1080p30_3_1s, RV04_1080p30_, 1920x1080,  I420,17.72276107,76.5,17.995262,0.482573,0.492554,3780,0.918622741,75.30791724,0,0,1.679950481,4.966050529,11.75385474,0,0,130.6417989,42.39574224,0.001967497,1.278846561,3.955518783,-0.805986304, #DIV/0!,30,1,0,126
TV04_1080p30_0.5_5s, RV04_1080p30_, 1920x1080,  I420,20.83508892,85.4375,18.586783,0.478919,0.489956,3750,0.921908059,72.91893271,0,0,1.663742733,5.196936533,11.80579317,0,0,130.632,41.86650077,0.001028877,1.219722667,3.823781067,-0.804709584, #DIV/0!,30,1,0,125
TV05_1080p25_0.5_2s, RV05_1080p25_, 1920x1080,  I420,8.744754554,88.9375,12.03452,0.20026,0.228302,3557,0.923505603,64.09439414,0.013213382,0.013216309,1.269478656,4.959717177,55.17329869,0.006747259,0,131.426483,35.02989026,0.002674583,1.334709024,4.925612033,-0.856267762, #DIV/0!,25,1,0,142.28
TV05_1080p25_5_3s, RV05_1080p25_, 1920x1080,  I420,9.035407691,51.625,12.167832,0.188858,0.216186,5000,0.935927068,53.00976226,0.01914408,0.02921043,2.059007018,5.8302848,54.28860589,0.0098,0,130.4668,33.74564707,0.00137671,1.16725,5.1029668,-0.853990902, #DIV/0!,25,1,0,200
