Source_file,Ref_video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score, PSNR, SSIM, MS_SSIM, frame,blockiness, spatialactivity, letterbox, pillarbox, blockloss, blur, temporalact, blockout, freezing, exposure, contrast, brightness, interlace,noise,slice, flickering,fps,two_res,one_res,duration
AirShow_HuangBufferBasedAdaptor_Trace_0, ---, 1920x1080,420,72.46376619,0.533269472,42.36375139,0.990476622,0.990502838,815,0.685910258,20.86897329,0,0.00242589,8.439526466,6.348521472,7.549553497,0,0,132.8245399,22.20371422,0.000107436,0.292184049,2.545998773,-0.783979313,  ,30,0,1,27.16666667
AirShow_HuangBufferBasedAdaptor_Trace_1, ---, 1920x1080,420,71.17344471,0.465335048,42.0460409,0.989814045,0.990021814,815,0.682100626,20.85045217,0,0.003651706,8.00587211,6.361144785,7.547255534,0,0,132.8687117,22.21566736,0.000103534,0.299435583,2.599860123,-0.78478881,  ,30,0,1,27.16666667
AirShow_HuangBufferBasedAdaptor_Trace_2, ---, 1920x1080,420,67.4716761,0.367154486,41.03456765,0.989015482,0.989318608,815,0.675962479,20.30781937,0,0.003714221,10.06371594,6.758965644,7.514854724,0,0,132.7546012,22.20385001,0.000105804,0.277177914,2.391930061,-0.784624589,  ,30,0,1,27.16666667
AirShow_HuangBufferBasedAdaptor_Trace_3, ---, 1920x1080,420,72.67895778,0.644216828,42.27287077,0.990500053,0.990565857,815,0.67428481,21.05543702,0,0.003122491,8.73545146,6.278263804,7.564015877,0,0,132.807362,22.21254513,0.000108859,0.292564417,2.462957055,-0.785035583,  ,30,0,1,27.16666667
AirShow_HuangBufferBasedAdaptor_Trace_4, ---, 1920x1080,420,57.8476467,-0.339019989,39.41651877,0.987051758,0.987575031,896,0.718654542,18.36247616,0,0.004794531,14.14110321,7.488758929,6.797345725,0,0,133.9352679,22.91917706,8.84E-05,0.264810268,2.414515625,-0.788648728,  ,30,0,1,29.86666667
AirShow_HuangBufferBasedAdaptor_Trace_5, ---, 1920x1080,420,80.39730181,0.88146031,44.07437616,0.991876576,0.991858671,815,0.662102049,22.11183061,0,0.001757497,4.833567129,5.620202454,7.635775362,0,0,132.7865031,22.25541458,0.000112859,0.292184049,2.604348466,-0.784211926,  ,30,0,1,27.16666667
AirShow_HuangBufferBasedAdaptor_Trace_6, ---, 1920x1080,420,56.97327151,-0.030461019,39.28603102,0.98676383,0.987320129,815,0.711373914,18.41743437,0,0.005315755,14.21564415,7.710072393,7.38375719,0,0,132.9828221,22.14445977,9.19E-05,0.277177914,2.356293252,-0.78529892,  ,30,0,1,27.16666667
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_0, ---, 1920x1080,420,82.4880028,1.048864895,44.05706342,0.992991206,0.992676971,815,0.677687693,22.6596162,0,0.00201038,3.923619583,5.316906748,7.656831153,0,0,132.7055215,22.25609837,0.000119718,0.292957055,2.388035583,-0.783402098,  ,30,0,1,27.16666667
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_1, ---, 1920x1080,420,77.84372665,0.862080963,42.83988469,0.99204806,0.991820538,815,0.687874613,22.0422159,0,0.003129951,5.429272503,5.75248589,7.619996552,0,0,132.6662577,22.23610361,0.000120785,0.292957055,2.09331411,-0.784957387,  ,30,0,1,27.16666667
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_2, ---, 1920x1080,420,73.74760926,0.474170159,41.94758883,0.990679803,0.990694257,815,0.691630209,21.64433894,0,0.00333319,6.684049067,6.056322699,7.587999252,0,0,132.6969325,22.21359694,0.000113595,0.308110429,2.149360736,-0.785166589,  ,30,0,1,27.16666667
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_3, ---, 1920x1080,420,80.25410838,0.82509541,43.54850859,0.992447652,0.992216498,815,0.68537346,22.43337294,0,0.002713337,4.717703509,5.485948466,7.639284368,0,0,132.7730061,22.24024524,0.000119791,0.29992638,2.294581595,-0.784122417,  ,30,0,1,27.16666667
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_4, ---, 1920x1080,420,63.28301594,-0.413850368,40.26879169,0.987966264,0.988402392,896,0.696978404,19.56328635,0,0.003876027,11.63707744,6.856975446,6.857550993,0,0,133.6796875,22.94526132,9.87E-05,0.264810268,2.32822433,-0.789178873,  ,30,0,1,29.86666667
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_5, ---, 1920x1080,420,85.95455214,0.917362663,45.14550528,0.993871113,0.993476916,815,0.668827607,22.90949736,0,0.001597644,3.095705436,5.150943558,7.681368147,0,0,132.7730061,22.26825454,0.000121558,0.303104294,2.404430675,-0.783988135,  ,30,0,1,27.16666667
AirShow_OracleVMAFViterbiQualityBasedAdaptor_Trace_6, ---, 1920x1080,420,60.12642639,-0.192009292,39.69008056,0.987351932,0.987847507,815,0.671783239,19.37328232,0,0.004452761,12.70762488,7.153429448,7.437887448,0,0,132.7865031,22.1553768,9.56E-05,0.291865031,2.266136196,-0.785959301,  ,30,0,1,27.16666667
AirShow_SimpleThroughputBasedAdaptor_Trace_0, ---, 1920x1080,420,79.27515876,0.995927187,43.22062132,0.992396525,0.992127757,815,0.686831951,22.2054194,0,0.00272362,5.447458466,5.663825767,7.626962147,0,0,132.6895706,22.23023988,0.000118417,0.292957055,2.240770552,-0.784414331,  ,30,0,1,27.16666667
AirShow_SimpleThroughputBasedAdaptor_Trace_1, ---, 1920x1080,420,77.7446346,0.797090589,42.809733,0.991717069,0.991567699,815,0.693998896,22.18940069,0,0.002994491,5.411130712,5.719417178,7.620021436,0,0,132.7128834,22.22957156,0.00011816,0.30809816,2.102895706,-0.784510479,  ,30,0,1,27.16666667
AirShow_SimpleThroughputBasedAdaptor_Trace_2, ---, 1920x1080,420,70.54854039,0.289833179,41.39752587,0.989887898,0.990030297,829,0.645044524,21.16070127,0,0.003344729,7.917542606,6.214301568,7.440816779,0,0,132.6248492,22.22695831,0.000107334,0.281085645,2.080258142,-0.785142762,  ,30,0,1,27.63333333
