Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score
TV01_1080p30_1_7s, RV01_1080p30_, 1920x1080,  I420, 26.5719823117, 74.3125
TV01_1080p30_2_2s, RV01_1080p30_, 1920x1080,  I420, 14.8816050965, 76.375
TV02_1080p30_2_5s, RV02_1080p30_, 1920x1080,  I420, 4.29475486776, 76.1875
TV02_1080p30_4_9s, RV02_1080p30_, 1920x1080,  I420, 3.62668477967, 50.375
TV03_1080p30_2_9s, RV03_1080p30_, 1920x1080,  I420, 3.57236360134, 54.875
TV03_1080p30_4_2s, RV03_1080p30_, 1920x1080,  I420, 5.56537079686, 77.25
TV04_1080p30_3_1s, RV04_1080p30_, 1920x1080,  I420, 17.7227610701, 76.5
TV04_1080p30_0.5_5s, RV04_1080p30_, 1920x1080,  I420, 20.8350889168, 85.4375
TV05_1080p25_0.5_2s, RV05_1080p25_, 1920x1080,  I420, 8.74475455427, 88.9375
TV05_1080p25_5_3s, RV05_1080p25_, 1920x1080,  I420, 9.03540769088, 51.625
TV06_1080p60_5_7s, RV06_1080p60_, 1920x1080,  I420, 8.10914019884, 45.9375
TV06_1080p60_1_3s, RV06_1080p60_, 1920x1080,  I420, 14.3236284819, 76.25
TV07_1080p30_4_5s, RV07_1080p30_, 1920x1080,  I420, 1.24074986687, 72.125
TV07_1080p30_0.5_9s, RV07_1080p30_, 1920x1080,  I420, 61.3483085671, 79.9375
TV08_1080p24_3_7s, RV08_1080p24_, 1920x1080,  I420, 18.2192727814, 70.25
RV08_1080p24, RV08_1080p24_, 1920x1080,  I420, 99.2911309985, 97.4375
TV08_1080p24_5_1s, RV08_1080p24_, 1920x1080,  I420, 10.6777990104, 83.75
TV09_1080p30_1_1s, RV09_1080p30_, 1920x1080,  I420, 39.8186845277, 88.125
TV09_1080p30_3_3s, RV09_1080p30_, 1920x1080,  I420, 4.51731624752, 75.75
TV10_2160p30_0.5_1s, RV10_2160p30_, 3840x2160,  I420, 18.6329011555, 88
TV10_2160p30_5_5s, RV10_2160p30_, 3840x2160,  I420, 4.98209556895, 65.625
TV11_2160p30_0.5_7s, RV11_2160p30_, 3840x2160,  I420, 37.0565875268, 82.375
TV11_2160p30_5_2s, RV11_2160p30_, 3840x2160,  I420, 14.7455663917, 75.375
TV12_2160p30_0.5_3s, RV12_2160p30_, 3840x2160,  I420, 24.1226526287, 79.0625
TV12_2160p30_4_7s, RV12_2160p30_, 3840x2160,  I420, 10.839594423, 50
TV13_2160p30_2_7s, RV13_2160p30_, 3840x2160,  I420, 12.1658496448, 63
TV13_2160p30_3_2s, RV13_2160p30_, 3840x2160,  I420, 5.03587186243, 69.5625
TV14_2160p30_1_5s, RV14_2160p30_, 3840x2160,  I420, 10.4008549285, 75.875
TV14_2160p30_4_1s, RV14_2160p30_, 3840x2160,  I420, 15.4462882513, 75.25
TV15_2160p30_1_9s, RV15_2160p30_, 3840x2160,  I420, 69.9849450447, 74.9375
TV15_2160p30_2_3s, RV15_2160p30_, 3840x2160,  I420, 75.80009821, 73.375
TV16_2160p30_2_1s, RV16_2160p30_, 3840x2160,  I420, 44.6069290172, 73.5625
TV16_2160p30_3_9s, RV16_2160p30_, 3840x2160,  I420, 8.38639388959, 53.6875
TV17_2160p30_3_5s, RV17_2160p30_, 3840x2160,  I420, 4.29717004856, 76.625
TV17_2160p30_3_5s, RV17_2160p30_, 3840x2160,  I420, 19.7420662095, 76.625
TV17_2160p30_4_3s, RV17_2160p30_, 3840x2160,  I420, 4.31606872367, 74.1875
TV17_2160p30_4_3s, RV17_2160p30_, 3840x2160,  I420, 30.0077543735, 74.1875
TV18_2160p30_1_2s, RV18_2160p30_, 3840x2160,  I420, 51.8158670323, 86.9375
TV18_2160p30_5_9s, RV18_2160p30_, 3840x2160,  I420, 7.67283559042, 53.4375
