Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score
CROWDRUN_plr10_4374, CROWDRUN_, 704x576,  I420, 54.791487665, 0.64

CROWDRUN_plr3_7393, CROWDRUN_, 704x576,  I420, 87.7357335015, 1.74

CROWDRUN_plr0.4_8022, CROWDRUN_, 704x576,  I420, 99.9852456607, 3.63

CROWDRUN_plr1_4003, CROWDRUN_, 704x576,  I420, 97.4315357663, 2.55

CROWDRUN_plr0.1_6859, CROWDRUN_, 704x576,  I420, 99.9897120296, none
CROWDRUN_plr0.4_6859, CROWDRUN_, 704x576,  I420, 98.8469280563, 3.1

CROWDRUN_plr0.1_4374.264, CROWDRUN_, 704x576,  I420, 99.9897120296, none
CROWDRUN_plr5_2081, CROWDRUN_, 704x576,  I420, 74.0037669064, 1.24

CROWDRUN_plr10_4109, CROWDRUN_, 704x576,  I420, 59.6390006996, 0.75

CROWDRUN_plr0.1_4374, CROWDRUN_, 704x576,  I420, 99.9897120296, none
CROWDRUN_plr1_167, CROWDRUN_, 704x576,  I420, 98.9913244532, 2.76

CROWDRUN_plr3_8297, CROWDRUN_, 704x576,  I420, 92.4548774, 2.29

CROWDRUN_plr5_4374, CROWDRUN_, 704x576,  I420, 86.290048788, 1.71

CROWDRUN_plr0_0, CROWDRUN_, 704x576,  I420, 99.9897120296, none
DUCKSTAKEOFF_plr1_5462, DUCKSTAKEOFF_, 704x576,  I420, 99.4347215415, 2.84

DUCKSTAKEOFF_plr0.1_5462, DUCKSTAKEOFF_, 704x576,  I420, 99.9683347515, 3.81

DUCKSTAKEOFF_plr3_1825, DUCKSTAKEOFF_, 704x576,  I420, 94.7139726571, 1.87

DUCKSTAKEOFF_plr5_7393, DUCKSTAKEOFF_, 704x576,  I420, 76.6345939263, 1.28

DUCKSTAKEOFF_plr0.1_8022, DUCKSTAKEOFF_, 704x576,  I420, 99.989712215, 4.23

DUCKSTAKEOFF_plr5_3693, DUCKSTAKEOFF_, 704x576,  I420, 66.2880601648, 0.72

DUCKSTAKEOFF_plr3_4374, DUCKSTAKEOFF_, 704x576,  I420, 82.4505429142, 1.4

DUCKSTAKEOFF_plr10_8552, DUCKSTAKEOFF_, 704x576,  I420, 52.4828912852, 0.54

DUCKSTAKEOFF_plr10_4109, DUCKSTAKEOFF_, 704x576,  I420, 57.4020862595, 0.68

DUCKSTAKEOFF_plr1_4003, DUCKSTAKEOFF_, 704x576,  I420, 97.7448645063, 2.12

DUCKSTAKEOFF_plr0.4_7393, DUCKSTAKEOFF_, 704x576,  I420, 99.7972392195, 3.41

DUCKSTAKEOFF_plr0.4_2081, DUCKSTAKEOFF_, 704x576,  I420, 99.773967596, 3.58

DUCKSTAKEOFF_plr0_0, DUCKSTAKEOFF_, 704x576,  I420, 99.989712215, 4.7

HARBOUR_plr5_7393, HARBOUR_, 704x576,  I420, 83.164476063, 2.09

HARBOUR_plr5_4109, HARBOUR_, 704x576,  I420, 76.7563600616, 1.87

HARBOUR_plr0_0, HARBOUR_, 704x576,  I420, 99.9913692731, 4.8

HARBOUR_plr0.1_7393, HARBOUR_, 704x576,  I420, 99.1240238879, 3.67

HARBOUR_plr10_4109, HARBOUR_, 704x576,  I420, 67.8361173967, 1.57

HARBOUR_plr3_8022, HARBOUR_, 704x576,  I420, 85.3503229942, 2.32

HARBOUR_plr1_167, HARBOUR_, 704x576,  I420, 96.7600316212, 3.09

HARBOUR_plr1_5462, HARBOUR_, 704x576,  I420, 97.2468116086, 3.11

HARBOUR_plr0.4_8552, HARBOUR_, 704x576,  I420, 99.8462843841, 4.14

HARBOUR_plr0.4_7393, HARBOUR_, 704x576,  I420, 99.2595054457, 4.05

HARBOUR_plr0.1_8552, HARBOUR_, 704x576,  I420, 99.9888797068, 4.21

HARBOUR_plr10_8022, HARBOUR_, 704x576,  I420, 58.3767042843, 1.1

HARBOUR_plr3_5462, HARBOUR_, 704x576,  I420, 89.138036678, 2.32

ICE_plr1_8022, ICE_, 704x576,  I420, 97.4240797887, 2.89

ICE_plr10_8022, ICE_, 704x576,  I420, 61.7789233468, 0.68

ICE_plr10_5462, ICE_, 704x576,  I420, 65.5452177316, 0.72

ICE_plr0.1_8552, ICE_, 704x576,  I420, 99.9505740688, 3.98

ICE_plr0.4_8022, ICE_, 704x576,  I420, 99.6570140616, 3.59

ICE_plr5_5462, ICE_, 704x576,  I420, 83.3379077977, 1.53

ICE_plr3_5462, ICE_, 704x576,  I420, 86.3318455436, 1.92

ICE_plr1_167, ICE_, 704x576,  I420, 94.7366751973, 2.36

ICE_plr0.4_2081, ICE_, 704x576,  I420, 99.5225774963, 3.65

ICE_plr0_0, ICE_, 704x576,  I420, 99.9891919339, 4.72

ICE_plr3_2081, ICE_, 704x576,  I420, 92.3618904885, 2.49

ICE_plr5_8022, ICE_, 704x576,  I420, 77.456899837, 1.15

ICE_plr0.1_4109, ICE_, 704x576,  I420, 99.9087801824, 4.46

PARKJOY_plr0.4_8022, PARKJOY_, 704x576,  I420, 99.9558590591, 3.2

PARKJOY_plr1_8022, PARKJOY_, 704x576,  I420, 99.4851838092, 2.4

PARKJOY_plr0.4_6859, PARKJOY_, 704x576,  I420, 99.964724337, 3.11

PARKJOY_plr0.1_4109, PARKJOY_, 704x576,  I420, 99.9897106736, 3.87

PARKJOY_plr3_5462, PARKJOY_, 704x576,  I420, 93.1487310064, 1.55

PARKJOY_plr0_0, PARKJOY_, 704x576,  I420, 99.9897106736, 4.71

PARKJOY_plr0.1_4374, PARKJOY_, 704x576,  I420, 99.9897106736, 3.57

PARKJOY_plr1_4003, PARKJOY_, 704x576,  I420, 98.4754889446, 2.18

PARKJOY_plr3_4109, PARKJOY_, 704x576,  I420, 95.8129795701, 1.86

PARKJOY_plr10_4109, PARKJOY_, 704x576,  I420, 70.2244931785, 0.9

PARKJOY_plr10_167, PARKJOY_, 704x576,  I420, 61.9601450771, 0.45

PARKJOY_plr5_7393, PARKJOY_, 704x576,  I420, 89.0112440327, 1.46

PARKJOY_plr5_4003, PARKJOY_, 704x576,  I420, 84.9374621644, 1.33

SOCCER_plr1_4109, SOCCER_, 704x576,  I420, 98.9639598773, 2.55

SOCCER_plr5_7393, SOCCER_, 704x576,  I420, 83.7177396727, 1.49

SOCCER_plr10_6859, SOCCER_, 704x576,  I420, 64.9306793187, 0.75

SOCCER_plr0_0, SOCCER_, 704x576,  I420, 99.9913681048, 4.83

SOCCER_plr0.1_4374, SOCCER_, 704x576,  I420, 99.402274059, 3.99

SOCCER_plr0.4_4374, SOCCER_, 704x576,  I420, 99.7695059649, 3.35

SOCCER_plr10_2081, SOCCER_, 704x576,  I420, 64.9967791003, 0.64

SOCCER_plr3_2081, SOCCER_, 704x576,  I420, 88.7892956481, 1.78

SOCCER_plr5_4109, SOCCER_, 704x576,  I420, 79.2132470335, 1.15

SOCCER_plr0.1_7393, SOCCER_, 704x576,  I420, 99.7207160407, 4.03

SOCCER_plr1_5462, SOCCER_, 704x576,  I420, 98.9560659671, 3.02

SOCCER_plr3_4003, SOCCER_, 704x576,  I420, 92.5969446616, 2.04

SOCCER_plr0.4_167, SOCCER_, 704x576,  I420, 99.7368415401, 3.61

