Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score
content_4_seq_7, cont_4_, 1920x1080, yuv422p, 68.0522185821, -1.469377285464831

content_4_seq_2, cont_4_, 1920x1080, yuv422p, 63.5798738395, -1.604402241870645

content_4_seq_5, cont_4_, 1920x1080, yuv422p, 55.7591082561, -1.115410263906825

content_4_seq_1, cont_4_, 1920x1080, yuv422p, 58.531884959, -1.1208

content_4_seq_4, cont_4_, 1920x1080, yuv422p, 70.0888830208, -1.189559853557788

content_4, cont_4_, 1920x1080, yuv422p, 99.9980933214, none
content_4_seq_6, cont_4_, 1920x1080, yuv422p, 55.4438611928, none
content_4_seq_0, cont_4_, 1920x1080, yuv422p, 88.1906888174, 0.8940815581115548

content_4_seq_3, cont_4_, 1920x1080, yuv422p, 56.8405611498, -1.304795083539888

content_5_seq_1, cont_5_, 1920x1080, yuv422p, 40.7815732627, -0.2556950512078894

content_5_seq_2, cont_5_, 1920x1080, yuv422p, 46.4042151774, -1.174076594494402

content_5, cont_5_, 1920x1080, yuv422p, 99.9980599388, none
content_5_seq_3, cont_5_, 1920x1080, yuv422p, 39.5201482852, -0.7717880754287114

content_5_seq_0, cont_5_, 1920x1080, yuv422p, 65.5088678113, none
content_5_seq_7, cont_5_, 1920x1080, yuv422p, 49.8323500273, -0.8381188853497225

content_5_seq_5, cont_5_, 1920x1080, yuv422p, 38.7707428193, -0.5910129503475715

content_5_seq_4, cont_5_, 1920x1080, yuv422p, 51.6340904295, -0.843917600823473

content_5_seq_6, cont_5_, 1920x1080, yuv422p, 34.59577311, -0.5249365237113216

content_6, cont_6_, 1920x1080, yuv422p, 99.9980918502, none
content_6_seq_7, cont_6_, 1920x1080, yuv422p, 59.445602123, -0.9150698160929134

content_6_seq_5, cont_6_, 1920x1080, yuv422p, 46.0711783732, -0.8645176986557164

content_6_seq_4, cont_6_, 1920x1080, yuv422p, 61.5304237977, -0.8069170219158527

content_6_seq_6, cont_6_, 1920x1080, yuv422p, 45.6792767359, -0.3739662460822944

content_6_seq_2, cont_6_, 1920x1080, yuv422p, 55.5605142259, -1.030566177519256

content_6_seq_0, cont_6_, 1920x1080, yuv422p, 79.2092025591, 1.06670417641504

