Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score
Test01_City_D01, Test01_City_D01_, 640x480, yuv422p, 99.7953772905, 71.17
Test01_City_D02, Test01_City_D01_, 640x480, yuv422p, 1.3867880644, 25.83
Test01_City_D03, Test01_City_D01_, 640x480, yuv422p, 0.350429073916, 18.45
Test01_City_D04, Test01_City_D01_, 640x480, yuv422p, 8.58775836333, 31.57
Test01_City_D05, Test01_City_D01_, 640x480, yuv422p, 0.531778127155, 26.07
Test01_City_D06, Test01_City_D01_, 640x480, yuv422p, 4.2449982017, 46.05
Test01_City_D07, Test01_City_D01_, 640x480, yuv422p, 4.64352618866, 54.48
Test01_City_D08, Test01_City_D01_, 640x480, yuv422p, 4.40971783176, 67.32
Test01_City_D09, Test01_City_D01_, 640x480, yuv422p, 5.3259802178, 68.67
Test02_City_D01, Test02_City_D01_, 640x480, yuv422p, 99.7558659393, 61.68
Test02_City_D02, Test02_City_D01_, 640x480, yuv422p, 12.3244452809, 28.57
Test02_City_D03, Test02_City_D01_, 640x480, yuv422p, 6.17895149854, 35.32
Test02_City_D04, Test02_City_D01_, 640x480, yuv422p, 8.56552826008, 28.00
Test02_City_D05, Test02_City_D01_, 640x480, yuv422p, 8.59264961665, 56.00
Test02_City_D06, Test02_City_D01_, 640x480, yuv422p, 8.61591547124, 50.72
Test02_City_D07, Test02_City_D01_, 640x480, yuv422p, 7.1196947009, 68.70
Test02_City_D08, Test02_City_D01_, 640x480, yuv422p, 8.94954045757, 49.10
Test02_City_D09, Test02_City_D01_, 640x480, yuv422p, 9.15968210762, 63.92
Test02_City_D10, Test02_City_D01_, 640x480, yuv422p, 6.2227939243, 21.10
Test03_City_D05, Test03_City_D01_, 1280x720, yuv422p, 5.02638839976, 39.14
Test03_City_D01, Test03_City_D01_, 1280x720, yuv422p, 99.7192423499, 57.75
Test03_City_D02, Test03_City_D01_, 1280x720, yuv422p, 5.25408440146, 30.07
Test03_City_D03, Test03_City_D01_, 1280x720, yuv422p, 9.08946377087, 92.39
Test03_City_D04, Test03_City_D01_, 1280x720, yuv422p, 6.9406752853, 26.25
