Source_file,Ref_video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score, PSNR, SSIM, MS_SSIM, frame,blockiness, spatialactivity, letterbox, pillarbox, blockloss, blur, temporalact, blockout, freezing, exposure, contrast, brightness, interlace,noise,slice, flickering,fps,two_res,one_res,duration
foreman_plr10_8022, foreman_, 352x288,  I420,65.65538721,0.846069575,27.47487,0.907226,0.907596,298,0.805494295,91.70742138,0,0,9.251677852,3.579030201,16.29713473,0,0,143.0738255,51.24800889,0.004502383,0.482114094,5.798073826,-0.794596946, #DIV/0!,30,1,0,9.933333333
foreman_plr5_4109, foreman_, 352x288,  I420,78.09014532,1.4513662,31.293216,0.944837,0.95009,298,0.851135268,91.25947742,0,0,2.140939597,3.664043624,15.0242605,0,0,141.9798658,51.75263862,0.003631242,0.487449664,5.590419463,-0.797756275, #DIV/0!,30,1,0,9.933333333
foreman, foreman_, 352x288,  I420,99.91336645, none,60,0.999675,0.999936,298,0.913352752,90.77006403,0,0,0.023489933,3.750798658,13.74577111,0,0,142.5201342,51.75350188,0.003178523,0.49442953,5.004949664,-0.799684027, #DIV/0!,30,1,0,9.933333333
foreman_plr1_6859, foreman_, 352x288,  I420,98.19971408,3.17972,41.078901,0.993499,0.996604,298,0.906967114,90.22745215,0,0,0.05704698,3.814439597,13.89057097,0,0,142.9060403,51.69014836,0.003176644,0.49590604,5.056063758,-0.799023591, #DIV/0!,30,1,0,9.933333333
foreman_plr0.1_5462, foreman_, 352x288,  I420,99.88155822, none,59.79737,0.99958,0.999853,298,0.912985268,90.77153003,0,0,0.023489933,3.750825503,13.75046668,0,0,142.5234899,51.7532956,0.003178523,0.494463087,5.006218121,-0.799719732, #DIV/0!,30,1,0,9.933333333
foreman_plr5_7128, foreman_, 352x288,  I420,82.30919467,1.4083845,31.566451,0.951618,0.947889,298,0.842880604,93.00889648,0,0,3.184563758,3.621050336,15.35032,0,0,143.0604027,51.62233409,0.003722584,0.487516779,5.318765101,-0.797238658, #DIV/0!,30,1,0,9.933333333
foreman_plr0.4_89, foreman_, 352x288,  I420,99.61630072,3.623231875,54.181539,0.997979,0.998515,298,0.910958624,90.78966675,0,0,0.026845638,3.745516779,13.77239064,0,0,142.5234899,51.74883258,0.003191208,0.494597315,5.002583893,-0.798871812, #DIV/0!,30,1,0,9.933333333
foreman_plr1_4374, foreman_, 352x288,  I420,97.60072688,2.849285625,41.773194,0.992307,0.995764,298,0.89849396,90.40377342,0,0,0.087248322,3.765573826,13.86965695,0,0,142.5302013,51.6949155,0.003137047,0.497348993,4.949697987,-0.799121812, #DIV/0!,30,1,0,9.933333333
foreman_plr10_4374, foreman_, 352x288,  I420,62.69147367,0.729568,27.241522,0.904849,0.905392,298,0.819910168,90.87835369,0,0,2.560402685,3.655614094,15.73682594,0,0,144.090604,51.29269836,0.004086678,0.496040268,5.889114094,-0.79671198, #DIV/0!,30,1,0,9.933333333
foreman_plr0.1_8552, foreman_, 352x288,  I420,99.88107003, none,59.781091,0.999573,0.999889,298,0.91320953,90.77087648,0,0,0.023489933,3.750412752,13.74961849,0,0,142.5201342,51.7534395,0.003177987,0.49442953,5.003865772,-0.79951443, #DIV/0!,30,1,0,9.933333333
foreman_plr0.4_4374, foreman_, 352x288,  I420,98.46456415, none,50.799662,0.996551,0.997664,298,0.909417349,90.83380409,0,0,0.020134228,3.740372483,13.80314956,0,0,142.5369128,51.72438809,0.003224698,0.493825503,4.945278523,-0.799398423, #DIV/0!,30,1,0,9.933333333
foreman_plr3_8022, foreman_, 352x288,  I420,87.71465761,0.90393275,36.111258,0.969921,0.974874,298,0.875583356,90.83031889,0,0,0.422818792,3.686204698,14.3211905,0,0,142.4697987,51.61117477,0.003366946,0.484731544,5.000006711,-0.798550537, #DIV/0!,30,1,0,9.933333333
foreman_plr3_3652, foreman_, 352x288,  I420,88.79524105,1.04430625,35.042505,0.973819,0.981627,298,0.877931812,89.9511296,0,0,0.224832215,3.786560403,14.35467091,0,0,142.2751678,51.63915376,0.00331849,0.506275168,5.052436242,-0.797970503, #DIV/0!,30,1,0,9.933333333
