Source_file,Ref_video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score, PSNR, SSIM, MS_SSIM, frame,blockiness, spatialactivity, letterbox, pillarbox, blockloss, blur, temporalact, blockout, freezing, exposure, contrast, brightness, interlace,noise,slice, flickering,fps,two_res,one_res,duration
content_4_seq_7, cont_4_, 1920x1080, yuv422p,68.05221858,-1.469377285,27.42598219,0.888240335,0.890947977,1798,0.869831407,36.10089836,0,4.92E-05,5.502741235,14.3736891,21.19430434,0,0,126.4972191,63.2123302,0.000248437,0.337424917, #DIV/0!,-0.795187525, #DIV/0!,24,0,1,74.91666667
content_4_seq_2, cont_4_, 1920x1080, yuv422p,63.57987384,-1.604402242,26.98028481,0.881784124,0.885240569,1798,0.874888409,33.79972864,0,1.33E-05,6.454075996,15.65374527,21.09831365,0,0,126.0828699,63.09099399,0.000258254,0.354849833, #DIV/0!,-0.794344105, #DIV/0!,24,0,1,74.91666667
content_4_seq_5, cont_4_, 1920x1080, yuv422p,55.75910826,-1.115410264,28.45687012,0.920935801,0.916979706,2198,0.836133667,37.62233937,0,3.27E-05,4.534999518,13.19553958,17.74885507,0,0,126.6360328,64.44437153,0.000394368,0.327493176, #DIV/0!,-0.800719531, #DIV/0!,24,0,1,91.58333333
content_4_seq_1, cont_4_, 1920x1080, yuv422p,58.53188496,-1.1208, , , ,2038,0.846475348,37.56515631,0,5.16E-05,4.439033292,13.13203876,19.08157568,0,0,126.7831207,63.09663066,0.000392664,0.330578999, #DIV/0!,-0.799413626, #DIV/0!,24,0,1,84.91666667
content_4_seq_4, cont_4_, 1920x1080, yuv422p,70.08888302,-1.189559854,27.95069456,0.901527856,0.901369672,1798,0.864840111,37.0069858,0,9.56E-05,4.657039466,13.66603726,21.3777011,0,0,126.9082314,63.29943605,0.000266796,0.335233593, #DIV/0!,-0.795174878, #DIV/0!,24,0,1,74.91666667
content_4, cont_4_, 1920x1080, yuv422p,99.99809332, none, , , ,1798,0.974786129,67.08010922,0.048922397,0,0.783132147,6.442848165,23.11100261,0,0,129.7252503,64.75349943,0.002158671,0.56205228, #DIV/0!,-0.836313281, #DIV/0!,24,0,1,74.91666667
content_4_seq_6, cont_4_, 1920x1080, yuv422p,55.44386119, none,28.08833346,0.910948177,0.909058369,2048,0.849566201,37.02285516,0,4.22E-05,5.065447207,13.76216406,18.89760337,0,0,126.6035156,63.89343825,0.00036353,0.329013672, #DIV/0!,-0.79976481, #DIV/0!,24,0,1,85.33333333
content_4_seq_0, cont_4_, 1920x1080, yuv422p,88.19068882,0.894081558,30.87850256,0.963001293,0.954618135,1798,0.902484116,44.109406,5.15E-06,4.99E-05,2.931511229,11.08347219,22.00979055,0,0,127.8726363,63.75624664,0.000215245,0.328186874, #DIV/0!,-0.793550367, #DIV/0!,24,0,1,74.91666667
content_4_seq_3, cont_4_, 1920x1080, yuv422p,56.84056115,-1.304795084,27.35536723,0.895164872,0.895640385,1918,0.866754838,34.36277655,0,8.04E-05,6.146637247,15.23479823,19.8978755,0,0,126.0417101,62.81011014,0.000339468,0.352685089, #DIV/0!,-0.794931017, #DIV/0!,24,0,1,79.91666667
content_5_seq_1, cont_5_, 1920x1080, yuv422p,40.78157326,-0.255695051,26.57835073,0.820351834,0.828000723,2008,0.863647804,33.4504211,0,0,15.11728078,12.14063645,13.03455851,0,0,122.2679283,46.47538633,0.000438142,0.844835657,3.111700697,-0.809724442, #DIV/0!,24,0,1,83.66666667
content_5_seq_2, cont_5_, 1920x1080, yuv422p,46.40421518,-1.174076594,25.7826147,0.781065208,0.795916995,1768,0.831937325,28.52401397,0,1.18E-06,24.8336499,14.87608088,13.54454617,0,0,122.2669683,46.95380679,0.000369457,0.76466629,3.63268043,-0.805063145, #DIV/0!,24,0,1,73.66666667
content_5, cont_5_, 1920x1080, yuv422p,99.99805994, none, , , ,1768,0.998306007,70.13146144,0,0,1.376858422,4.934200792,21.34850784,0,0,121.6233032,49.27522169,0.00143892,2.206425339,2.203699661,-0.85460763, #DIV/0!,24,0,1,73.66666667
content_5_seq_3, cont_5_, 1920x1080, yuv422p,39.52014829,-0.771788075,26.09155867,0.79766759,0.809310572,1888,0.825610286,29.33362229,0,0,21.4817266,14.4424571,12.93993511,0,0,121.9745763,47.40482055,0.000433655,0.780423729,3.48614089,-0.806489682, #DIV/0!,24,0,1,78.66666667
content_5_seq_0, cont_5_, 1920x1080, yuv422p,65.50886781, none,28.18913084,0.877925794,0.876531526,1768,0.891493518,39.69515617,0,0,11.07340817,10.43017025,16.21863028,0,0,121.7494344,47.79865359,0.000274412,0.818297511,2.787852376,-0.813404615, #DIV/0!,24,0,1,73.66666667
content_5_seq_7, cont_5_, 1920x1080, yuv422p,49.83235003,-0.838118885,26.08069098,0.791141854,0.804270227,1768,0.859255011,30.53832746,0,0,22.44782247,13.6297483,14.08478141,0,0,122.196267,47.13145002,0.000339236,0.753614253,3.459679864,-0.805054898, #DIV/0!,24,0,1,73.66666667
content_5_seq_5, cont_5_, 1920x1080, yuv422p,38.77074282,-0.59101295,26.639263,0.821947645,0.829345383,2168,0.864567117,35.32129825,0,0,14.27461128,12.01891605,12.12468557,0,0,120.9976937,48.1270278,0.000471425,0.767043358,3.215410055,-0.80822351, #DIV/0!,24,0,1,90.33333333
content_5_seq_4, cont_5_, 1920x1080, yuv422p,51.63409043,-0.843917601,26.29078655,0.803415826,0.81408723,1768,0.868957053,31.61049713,0,5.88E-07,21.84340659,13.16643382,14.27547952,0,0,122.3704751,47.22267501,0.000326748,0.784377828,3.283733597,-0.805857749, #DIV/0!,24,0,1,73.66666667
content_5_seq_6, cont_5_, 1920x1080, yuv422p,34.59577311,-0.524936524,24.8260395,0.750863619,0.767548027,2018,0.85639609,33.09723265,0,0,15.48198357,12.70866105,12.73018667,0,0,121.3597621,47.21987874,0.00049831,0.84246779,3.432533201,-0.808467607, #DIV/0!,24,0,1,84.08333333
content_6, cont_6_, 1920x1080, yuv422p,99.99809185, none, , , ,1797,0.998403606,51.92231947,0,0.000404647,1.130932449,5.562091263,15.8520154,0,0,124.1279911,46.77377299,0.000919688,1.964462994,2.188520868,-0.854820974, #DIV/0!,24,0,1,74.875
content_6_seq_7, cont_6_, 1920x1080, yuv422p,59.44560212,-0.915069816,28.80001388,0.860901898,0.87050622,1797,0.860130668,25.5058286,0,0,16.11527149,14.20788091,11.93290916,0,0,124.3199777,45.36351758,0.000311163,0.498124652,2.602062883,-0.804630957, #DIV/0!,24,0,1,74.875
content_6_seq_5, cont_6_, 1920x1080, yuv422p,46.07117837,-0.864517699,29.63801106,0.893117708,0.895928733,2197,0.845778361,26.63177145,0,3.80E-06,11.9577995,12.80627583,10.18210178,0,0,124.040965,46.07160538,0.000502453,0.494210287,2.522915794,-0.811619923, #DIV/0!,24,0,1,91.54166667
content_6_seq_4, cont_6_, 1920x1080, yuv422p,61.5304238,-0.806917022,29.03144262,0.865678518,0.874215624,1797,0.867269277,26.08696104,0,0,14.89462595,13.74601948,12.04206282,0,0,124.0133556,45.41609604,0.00030759,0.503717307,2.576804674,-0.805465882, #DIV/0!,24,0,1,74.875
content_6_seq_6, cont_6_, 1920x1080, yuv422p,45.67927674,-0.373966246,29.36614453,0.883393096,0.888092601,2047,0.848551368,26.16433856,0,1.02E-06,13.80354518,13.31196776,10.70441035,0,0,124.6511969,46.58333685,0.000427137,0.479741085,2.521121641,-0.810605418, #DIV/0!,24,0,1,85.29166667
