model, model_parameter, features, r_2, database_size, coeffs, features_ranking
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'],0.484505790219,(645| 172),[0.03014912 0.01653175],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'SSIM'],0.330590875046,(645| 172),[ 0.09618845 -2.81486274],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['Aggregate_vmaf'| 'SSIM'],0.625751942929,(645| 172),[ 0.03897961 -3.7879438 ],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['Aggregate_vmaf'],0.515747423654,(645| 172),[0.025198],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'],0.314607827029,(645| 172),[0.06833856],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['SSIM'],0.0583825148401,(645| 172),[2.1095695],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['MS_SSIM'],0.0182398791668,(645| 172),[1.96676455],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'],-0.049972518164,(645| 172),[0.64029849],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockloss'],-0.0139136903906,(645| 172),[-0.05455382],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blur'],-0.0478998116896,(645| 172),[-0.02807047],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['exposure'],-0.0468500821267,(645| 172),[0.00021784],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['contrast'],-0.0511885138295,(645| 172),[0.0029357],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['brightness'],-0.0479200383634,(645| 172),[0.02057556],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],0.29872771125,(645| 172),[ 5.34183023e-02  3.38205236e-02 -2.70272127e-01 -5.24718856e+00 -7.92252323e-02  2.56712417e-03 -3.86643128e+01 -2.44029796e-03 -7.47886319e-02  5.96900012e-03  3.01017218e+01  5.96209111e-03 -2.70514479e-03 -2.95543533e-01 -2.83694297e-03  7.29129511e-01 -1.08928668e+00  1.01015017e+00  1.64353894e-01 -8.14346900e-01 -2.49573567e-01],[12 13  1  5  9 17  1 19 11 14  1 15 18 10 16  7  3  8  6  4  2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'],0.210796479963,(645| 172),[ 5.40931796e-02  3.38232834e-02 -7.56458039e-02 -5.64375855e+00 -6.43170001e-02  2.43823379e-03 -4.18530033e+01 -2.39312702e-03 -8.31749313e-02  6.29971291e-03  3.19421665e+01  5.94193645e-03 -2.79538486e-03 -3.02237456e-01 -1.78464090e-03  6.21158398e-01 -9.57531379e-01  1.00953436e+00  1.38547941e-03 -6.74546862e-01],[10 11  1  2  3 15  1 16  8 12  1 13 14  5 17  7  9  4 18  6]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'],-0.0600237558262,(645| 172),[ 7.91860774e-01 -7.28980093e-04 -2.09523715e+01 -5.71307625e-02 -6.63507364e-02  3.11419384e-03  8.43379965e+01 -1.94123234e-03 -7.47639749e-03  7.25372925e-02 -2.14415518e-04  2.58101837e-01 -5.83330645e-02  5.02075442e-01 -8.75206191e-01  1.73361977e-01],[ 1 13  1  9  7 11  1 12 10  8 14  5  6  4  2  3]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],-0.0690417344807,(645| 172),[ 8.00964043e-01 -7.69472028e-04 -2.16783551e+01 -5.70046046e-02 -6.88246116e-02  3.26469471e-03  8.48097896e+01 -1.94864300e-03 -7.52053792e-03  7.26665095e-02  1.34742264e-04  2.35041520e-01 -2.69749025e-02  5.05181739e-01 -9.19800859e-01  2.06552503e-01  5.64690940e-02],[ 1 14  1  9  7 12  1 13 10  8 15  5  6  4  2  3 11]
