model, model_parameter, features, r_2, database_size, coeffs, features_ranking
,['PSNR'| 'Aggregate_vmaf'],0.45069072344,(667| 150),[0.03093856 0.01675202],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'SSIM'],0.263649068135,(667| 150),[ 0.10036388 -3.02456927],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['Aggregate_vmaf'| 'SSIM'],0.562757202746,(667| 150),[ 0.0400118 -4.1130012],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['Aggregate_vmaf'],0.489521679726,(667| 150),[0.02548256],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'],0.274001657549,(667| 150),[0.070667],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['SSIM'],0.065046413184,(667| 150),[2.27381505],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['MS_SSIM'],0.0211330005988,(667| 150),[2.13135801],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'],-0.013786830509,(667| 150),[0.57536725],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockloss'],0.0325314751645,(667| 150),[-0.05611736],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blur'],-0.0186964364255,(667| 150),[-0.02810863],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['exposure'],-0.0229007538978,(667| 150),[0.00134121],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['contrast'],-0.0177876196159,(667| 150),[0.00104569],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['brightness'],-0.0188130988307,(667| 150),[0.00591073],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],0.303907602745,(667| 150),[ 5.75927931e-02  3.27305726e-02  4.62819945e-01 -5.47075905e+00 -1.45396383e-01  1.44549883e-03 -2.68204026e+01 -3.59410484e-03 -9.46294595e-02  1.50460873e-02  1.74521707e+01  5.57377847e-03  4.10012386e-03 -5.47122010e-02 -2.31109773e-03  9.41842711e-01 -1.07655509e+00  1.17238108e+00 -1.83068365e-01 -8.54600333e-01 -4.05333059e-01],[10 12  1  5  6 19  1 17 11 14  1 16 15  8 18  9  3  7 13  4  2]
