Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score, PSNR, SSIM, MS_SSIM
TV01_1080p30_1_7s, RV01_1080p30_, 1920x1080,  I420, 26.5719823117, 74.3125, 19.323105, 0.522765, 0.551639
TV01_1080p30_2_2s, RV01_1080p30_, 1920x1080,  I420, 14.8816050965, 76.375, 17.534752, 0.471459, 0.488999
TV02_1080p30_2_5s, RV02_1080p30_, 1920x1080,  I420, 4.29475486776, 76.1875, 11.846501, 0.364061, 0.374950
TV02_1080p30_4_9s, RV02_1080p30_, 1920x1080,  I420, 3.62668477967, 50.375, 12.490334, 0.370999, 0.380459
TV03_1080p30_2_9s, RV03_1080p30_, 1920x1080,  I420, 3.57236360134, 54.875, 15.105462, 0.367410, 0.364236
TV03_1080p30_4_2s, RV03_1080p30_, 1920x1080,  I420, 5.56537079686, 77.25, 16.263324, 0.350668, 0.336966
TV04_1080p30_3_1s, RV04_1080p30_, 1920x1080,  I420, 17.7227610701, 76.5, 17.995262, 0.482573, 0.492554
TV04_1080p30_0.5_5s, RV04_1080p30_, 1920x1080,  I420, 20.8350889168, 85.4375, 18.586783, 0.478919, 0.489956
TV05_1080p25_0.5_2s, RV05_1080p25_, 1920x1080,  I420, 8.74475455427, 88.9375, 12.034520, 0.200260, 0.228302
TV05_1080p25_5_3s, RV05_1080p25_, 1920x1080,  I420, 9.03540769088, 51.625, 12.167832, 0.188858, 0.216186
TV06_1080p60_5_7s, RV06_1080p60_, 1920x1080,  I420, 8.10914019884, 45.9375, 13.208871, 0.381552, 0.404816
TV06_1080p60_1_3s, RV06_1080p60_, 1920x1080,  I420, 14.3236284819, 76.25, 16.379704, 0.544575, 0.546716
TV07_1080p30_4_5s, RV07_1080p30_, 1920x1080,  I420, 1.24074986687, 72.125, 12.407898, 0.455072, 0.504326
TV07_1080p30_0.5_9s, RV07_1080p30_, 1920x1080,  I420, 61.3483085671, 79.9375, 32.498049, 0.813398, 0.814940
TV08_1080p24_3_7s, RV08_1080p24_, 1920x1080,  I420, 18.2192727814, 70.25, 15.223346, 0.427421, 0.472821
RV08_1080p24, RV08_1080p24_, 1920x1080,  I420, 99.2911309985, 97.4375, 60.000000, 0.999731, 0.999757
TV08_1080p24_5_1s, RV08_1080p24_, 1920x1080,  I420, 10.6777990104, 83.75, 15.246419, 0.464952, 0.481904
TV09_1080p30_1_1s, RV09_1080p30_, 1920x1080,  I420, 39.8186845277, 88.125, 23.633426, 0.720110, 0.714759
TV09_1080p30_3_3s, RV09_1080p30_, 1920x1080,  I420, 4.51731624752, 75.75, 12.919522, 0.426838, 0.472358
TV10_2160p30_0.5_1s, RV10_2160p30_, 3840x2160,  I420, 18.6329011555, 88, , , 
TV10_2160p30_5_5s, RV10_2160p30_, 3840x2160,  I420, 4.98209556895, 65.625, , , 
TV11_2160p30_0.5_7s, RV11_2160p30_, 3840x2160,  I420, 37.0565875268, 82.375, 30.165986, 0.803258, 0.785198
TV11_2160p30_5_2s, RV11_2160p30_, 3840x2160,  I420, 14.7455663917, 75.375, 19.186643, 0.539669, 0.592099
TV12_2160p30_0.5_3s, RV12_2160p30_, 3840x2160,  I420, 24.1226526287, 79.0625, 27.420741, 0.683979, 0.690638
TV12_2160p30_4_7s, RV12_2160p30_, 3840x2160,  I420, 10.839594423, 50, 22.791815, 0.647055, 0.665479
TV13_2160p30_2_7s, RV13_2160p30_, 3840x2160,  I420, 12.1658496448, 63, 13.457814, 0.436157, 0.551878
TV13_2160p30_3_2s, RV13_2160p30_, 3840x2160,  I420, 5.03587186243, 69.5625, 14.727979, 0.485905, 0.564567
TV14_2160p30_1_5s, RV14_2160p30_, 3840x2160,  I420, 10.4008549285, 75.875, 13.575684, 0.330153, 0.419708
TV14_2160p30_4_1s, RV14_2160p30_, 3840x2160,  I420, 15.4462882513, 75.25, 15.781889, 0.431002, 0.495300
TV15_2160p30_1_9s, RV15_2160p30_, 3840x2160,  I420, 69.9849450447, 74.9375, 32.035983, 0.865529, 0.876528
TV15_2160p30_2_3s, RV15_2160p30_, 3840x2160,  I420, 75.80009821, 73.375, 33.762424, 0.906932, 0.913335
TV16_2160p30_2_1s, RV16_2160p30_, 3840x2160,  I420, 44.6069290172, 73.5625, 26.259785, 0.918093, 0.897952
TV16_2160p30_3_9s, RV16_2160p30_, 3840x2160,  I420, 8.38639388959, 53.6875, 19.053789, 0.716633, 0.696253
TV17_2160p30_3_5s, RV17_2160p30_, 3840x2160,  I420, 4.29717004856, 76.625, 16.990707, 0.341912, 0.413618
TV17_2160p30_3_5s, RV17_2160p30_, 3840x2160,  I420, 19.7420662095, 76.625, 16.990707, 0.341912, 0.413618
TV17_2160p30_4_3s, RV17_2160p30_, 3840x2160,  I420, 4.31606872367, 74.1875, 20.335442, 0.455539, 0.513789
TV17_2160p30_4_3s, RV17_2160p30_, 3840x2160,  I420, 30.0077543735, 74.1875, 20.335442, 0.455539, 0.513789
TV18_2160p30_1_2s, RV18_2160p30_, 3840x2160,  I420, 51.8158670323, 86.9375, 29.909695, 0.815468, 0.812895
TV18_2160p30_5_9s, RV18_2160p30_, 3840x2160,  I420, 7.67283559042, 53.4375, 15.859372, 0.535049, 0.562762
