Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score
foreman_plr10_8022, foreman_, 352x288,  I420, 65.6553872132, 0.846069575, 27.474870, 0.907226, 0.907596
foreman_plr5_4109, foreman_, 352x288,  I420, 78.0901453221, 1.4513662, 31.293216, 0.944837, 0.950090
foreman, foreman_, 352x288,  I420, 99.9133664452, none, 60.000000, 0.999675, 0.999936
foreman_plr1_6859, foreman_, 352x288,  I420, 98.1997140845, 3.17972, 41.078901, 0.993499, 0.996604
foreman_plr0.1_5462, foreman_, 352x288,  I420, 99.8815582189, none, 59.797370, 0.999580, 0.999853
foreman_plr5_7128, foreman_, 352x288,  I420, 82.3091946674, 1.4083845, 31.566451, 0.951618, 0.947889
foreman_plr0.4_89, foreman_, 352x288,  I420, 99.6163007185, 3.623231875, 54.181539, 0.997979, 0.998515
foreman_plr1_4374, foreman_, 352x288,  I420, 97.6007268814, 2.849285625, 41.773194, 0.992307, 0.995764
foreman_plr10_4374, foreman_, 352x288,  I420, 62.6914736701, 0.729568, 27.241522, 0.904849, 0.905392
foreman_plr0.1_8552, foreman_, 352x288,  I420, 99.8810700261, none, 59.781091, 0.999573, 0.999889
foreman_plr0.4_4374, foreman_, 352x288,  I420, 98.4645641506, none, 50.799662, 0.996551, 0.997664
foreman_plr3_8022, foreman_, 352x288,  I420, 87.7146576143, 0.90393275, 36.111258, 0.969921, 0.974874
foreman_plr3_3652, foreman_, 352x288,  I420, 88.7952410545, 1.04430625, 35.042505, 0.973819, 0.981627
hall, hall_, 352x288,  I420, 98.2059757525, 4.747231875, 60.000000, 0.999809, 0.999982
hall_plr0.4_522, hall_, 352x288,  I420, 96.1965606037, 3.337633125, 50.791948, 0.997654, 0.997070
hall_plr0.4_7393, hall_, 352x288,  I420, 95.8422015293, 3.52922625, 48.041245, 0.997481, 0.998761
hall_plr3_1825, hall_, 352x288,  I420, 67.9668569502, 0.9898365, 30.775209, 0.956589, 0.955920
hall_plr1_8552, hall_, 352x288,  I420, 90.6106316312, 2.57315625, 41.668382, 0.991773, 0.991353
hall_plr5_3652, hall_, 352x288,  I420, 74.803780158, 1.195288625, 31.270551, 0.966026, 0.964758
hall_plr0.1_2081, hall_, 352x288,  I420, 97.8097326816, 4.196120625, 57.821748, 0.999096, 0.999260
hall_plr10_8420, hall_, 352x288,  I420, 60.9412155323, 1.1371695, 27.385396, 0.944282, 0.944138
hall_plr5_8253, hall_, 352x288,  I420, 73.7772643476, 1.653032125, 32.581423, 0.968066, 0.966510
hall_plr1_89, hall_, 352x288,  I420, 87.3305363475, 2.89023875, 35.877723, 0.983308, 0.987563
hall_plr10_3693, hall_, 352x288,  I420, 55.8612315556, 1.08053645, 26.174675, 0.933633, 0.928163
hall_plr3_3176, hall_, 352x288,  I420, 62.1145072123, 1.5581375, 28.770728, 0.950098, 0.946638
hall_plr0.1_6644, hall_, 352x288,  I420, 97.9638056916, 4.669135625, 56.258252, 0.999531, 0.999905
mobile_plr1_8022, mobile_, 352x288,  I420, 97.3392662551, 3.0140025, 40.603132, 0.986654, 0.993036
mobile_plr0.1_8253, mobile_, 352x288,  I420, 99.9136319954, 4.49177375, 47.847289, 0.997327, 0.999116
mobile_plr1_5462, mobile_, 352x288,  I420, 97.9642865375, 3.277866875, 39.921331, 0.988664, 0.994351
mobile, mobile_, 352x288,  I420, 99.9913692861, 4.8155525, 60.000000, 0.999963, 0.999996
mobile_plr3_5539, mobile_, 352x288,  I420, 85.0552917606, 1.328018625, 28.971487, 0.948667, 0.967570
mobile_plr0.4_2081, mobile_, 352x288,  I420, 99.2749444243, 3.8913, 46.565930, 0.993404, 0.997279
mobile_plr10_167, mobile_, 352x288,  I420, 56.44392708, 0.96267055, 23.204358, 0.833584, 0.896277
mobile_plr0.1_8022, mobile_, 352x288,  I420, 99.8840048493, 4.468603125, 51.248519, 0.998487, 0.999409
mobile_plr3_7128, mobile_, 352x288,  I420, 83.9468257906, 1.1547945, 29.143143, 0.940838, 0.958536
mobile_plr0.4_8043, mobile_, 352x288,  I420, 98.9337331557, 3.912851875, 52.037737, 0.994403, 0.997491
mobile_plr10_2081, mobile_, 352x288,  I420, 56.9895463549, 1.271713625, 22.438587, 0.835471, 0.894199
mobile_plr5_7393, mobile_, 352x288,  I420, 73.8967013968, 1.715799375, 26.772223, 0.905123, 0.944765
mobile_plr5_1251, mobile_, 352x288,  I420, 74.9847970862, 1.771382625, 26.739276, 0.910187, 0.952220
mother_plr0.1_3176, mother_, 352x288,  I420, 97.6473432956, 3.5002375, 57.480066, 0.998860, 0.999325
mother_plr1_2081, mother_, 352x288,  I420, 93.9330214152, 2.417515625, 49.747069, 0.993706, 0.991948
mother_plr3_8253, mother_, 352x288,  I420, 92.6677038109, 1.53363125, 45.159853, 0.991862, 0.995389
mother_plr5_8420, mother_, 352x288,  I420, 83.0541608771, 2.251950625, 39.090559, 0.978847, 0.983318
mother_plr1_522, mother_, 352x288,  I420, 93.3822372667, 2.99607375, 48.820559, 0.992795, 0.994117
mother_plr0.1_522, mother_, 352x288,  I420, 97.338268771, 3.384776875, 56.111866, 0.998253, 0.997531
mother, mother_, 352x288,  I420, 98.3403860711, 4.540816875, 60.000000, 0.999726, 0.999956
mother_plr10_1587, mother_, 352x288,  I420, 72.4476104388, 1.02749245, 35.291888, 0.958955, 0.958404
mother_plr0.4_5435, mother_, 352x288,  I420, 95.0685708919, 2.554847375, 49.935906, 0.994736, 0.993639
mother_plr0.4_1587, mother_, 352x288,  I420, 96.1432994389, 3.08007625, 52.838547, 0.996628, 0.996951
mother_plr3_167, mother_, 352x288,  I420, 89.6246617431, 1.47040825, 43.893310, 0.986916, 0.990349
mother_plr5_5452, mother_, 352x288,  I420, 75.8632739954, 1.882532125, 36.623678, 0.969717, 0.965773
