Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score
CROWDRUN_plr10_4374, CROWDRUN_, 704x576,  I420, 54.791487665, 0.64, 22.417545, 0.845335, 0.876474
CROWDRUN_plr3_7393, CROWDRUN_, 704x576,  I420, 87.7357335015, 1.74, 29.629389, 0.949216, 0.959684
CROWDRUN_plr0.4_8022, CROWDRUN_, 704x576,  I420, 99.9852456607, 3.63, 46.042491, 0.995081, 0.996301
CROWDRUN_plr1_4003, CROWDRUN_, 704x576,  I420, 97.4315357663, 2.55, 35.010553, 0.975541, 0.978046
CROWDRUN_plr0.1_6859, CROWDRUN_, 704x576,  I420, 99.9897120296, none, 49.306734, 0.996099, 0.996585
CROWDRUN_plr0.4_6859, CROWDRUN_, 704x576,  I420, 98.8469280563, 3.1, 45.003829, 0.989945, 0.991642
CROWDRUN_plr0.1_4374.264, CROWDRUN_, 704x576,  I420, 99.9897120296, none, 55.216171, 0.997808, 0.998382
CROWDRUN_plr5_2081, CROWDRUN_, 704x576,  I420, 74.0037669064, 1.24, 26.572014, 0.904369, 0.922841
CROWDRUN_plr10_4109, CROWDRUN_, 704x576,  I420, 59.6390006996, 0.75, 23.555603, 0.865987, 0.889966
CROWDRUN_plr0.1_4374, CROWDRUN_, 704x576,  I420, 99.9897120296, none, 55.216171, 0.997808, 0.998382
CROWDRUN_plr1_167, CROWDRUN_, 704x576,  I420, 98.9913244532, 2.76, 36.598753, 0.984853, 0.988363
CROWDRUN_plr3_8297, CROWDRUN_, 704x576,  I420, 92.4548774, 2.29, 33.180138, 0.964033, 0.973493
CROWDRUN_plr5_4374, CROWDRUN_, 704x576,  I420, 86.290048788, 1.71, 28.616167, 0.935654, 0.950750
CROWDRUN, CROWDRUN_, 704x576,  I420, 99.9897120296, none, 60.000000, 1.000000, 1.000000
DUCKSTAKEOFF_plr1_5462, DUCKSTAKEOFF_, 704x576,  I420, 99.4347215415, 2.84, 37.078104, 0.986625, 0.988236
DUCKSTAKEOFF_plr0.1_5462, DUCKSTAKEOFF_, 704x576,  I420, 99.9683347515, 3.81, 52.784673, 0.996273, 0.996693
DUCKSTAKEOFF_plr3_1825, DUCKSTAKEOFF_, 704x576,  I420, 94.7139726571, 1.87, 30.911699, 0.964920, 0.970092
DUCKSTAKEOFF_plr5_7393, DUCKSTAKEOFF_, 704x576,  I420, 76.6345939263, 1.28, 25.718794, 0.921551, 0.931761
DUCKSTAKEOFF_plr0.1_8022, DUCKSTAKEOFF_, 704x576,  I420, 99.989712215, 4.23, 58.295934, 0.999586, 0.999730
DUCKSTAKEOFF_plr5_3693, DUCKSTAKEOFF_, 704x576,  I420, 66.2880601648, 0.72, 23.599380, 0.897014, 0.901312
DUCKSTAKEOFF_plr3_4374, DUCKSTAKEOFF_, 704x576,  I420, 82.4505429142, 1.4, 26.757019, 0.939132, 0.943993
DUCKSTAKEOFF_plr10_8552, DUCKSTAKEOFF_, 704x576,  I420, 52.4828912852, 0.54, 21.103527, 0.829858, 0.843357
DUCKSTAKEOFF_plr10_4109, DUCKSTAKEOFF_, 704x576,  I420, 57.4020862595, 0.68, 21.684959, 0.849550, 0.863649
DUCKSTAKEOFF_plr1_4003, DUCKSTAKEOFF_, 704x576,  I420, 97.7448645063, 2.12, 34.556835, 0.980065, 0.981585
DUCKSTAKEOFF_plr0.4_7393, DUCKSTAKEOFF_, 704x576,  I420, 99.7972392195, 3.41, 42.401257, 0.991989, 0.993242
DUCKSTAKEOFF_plr0.4_2081, DUCKSTAKEOFF_, 704x576,  I420, 99.773967596, 3.58, 46.180647, 0.994722, 0.995407
DUCKSTAKEOFF, DUCKSTAKEOFF_, 704x576,  I420, 99.989712215, none, 60.000000, 1.000000, 1.000000
HARBOUR_plr5_7393, HARBOUR_, 704x576,  I420, 83.164476063, 2.09, 31.468062, 0.967179, 0.974805
HARBOUR_plr5_4109, HARBOUR_, 704x576,  I420, 76.7563600616, 1.87, 29.499488, 0.951787, 0.960836
HARBOUR, HARBOUR_, 704x576,  I420, 99.9913692731, none, 60.000000, 0.999998, 0.999999
HARBOUR_plr0.1_7393, HARBOUR_, 704x576,  I420, 99.1240238879, 3.67, 54.143980, 0.997835, 0.997884
