Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score, PSNR, SSIM, MS_SSIM
content_4_seq_7, cont_4_, 1920x1080, yuv422p, 68.0522185821, -1.469377285464831, 27.4259821856, 0.888240335364, 0.890947976932
content_4_seq_2, cont_4_, 1920x1080, yuv422p, 63.5798738395, -1.604402241870645, 26.9802848127, 0.881784123885, 0.885240569063
content_4_seq_5, cont_4_, 1920x1080, yuv422p, 55.7591082561, -1.115410263906825, 28.4568701186, 0.920935801199, 0.916979706261
content_4_seq_1, cont_4_, 1920x1080, yuv422p, 58.531884959, -1.1208, , , 
content_4_seq_4, cont_4_, 1920x1080, yuv422p, 70.0888830208, -1.189559853557788, 27.9506945641, 0.901527855882, 0.901369671946
content_4, cont_4_, 1920x1080, yuv422p, 99.9980933214, none, , , 
content_4_seq_6, cont_4_, 1920x1080, yuv422p, 55.4438611928, none, 28.0883334611, 0.910948177368, 0.909058368634
content_4_seq_0, cont_4_, 1920x1080, yuv422p, 88.1906888174, 0.8940815581115548, 30.8785025584, 0.96300129301, 0.954618135267
content_4_seq_3, cont_4_, 1920x1080, yuv422p, 56.8405611498, -1.304795083539888, 27.3553672289, 0.895164872414, 0.895640385458
content_5_seq_1, cont_5_, 1920x1080, yuv422p, 40.7815732627, -0.2556950512078894, 26.5783507306, 0.820351834322, 0.82800072253
content_5_seq_2, cont_5_, 1920x1080, yuv422p, 46.4042151774, -1.174076594494402, 25.7826147046, 0.781065208222, 0.795916995379
content_5, cont_5_, 1920x1080, yuv422p, 99.9980599388, none, , , 
content_5_seq_3, cont_5_, 1920x1080, yuv422p, 39.5201482852, -0.7717880754287114, 26.0915586741, 0.797667590441, 0.809310572363
content_5_seq_0, cont_5_, 1920x1080, yuv422p, 65.5088678113, none, 28.189130844, 0.877925794489, 0.876531525617
content_5_seq_7, cont_5_, 1920x1080, yuv422p, 49.8323500273, -0.8381188853497225, 26.0806909844, 0.791141854414, 0.804270227192
content_5_seq_5, cont_5_, 1920x1080, yuv422p, 38.7707428193, -0.5910129503475715, 26.6392629996, 0.821947645369, 0.829345383269
content_5_seq_4, cont_5_, 1920x1080, yuv422p, 51.6340904295, -0.843917600823473, 26.2907865514, 0.803415826446, 0.814087230089
content_5_seq_6, cont_5_, 1920x1080, yuv422p, 34.59577311, -0.5249365237113216, 24.8260394984, 0.750863618899, 0.767548027138
content_6, cont_6_, 1920x1080, yuv422p, 99.9980918502, none, , , 
content_6_seq_7, cont_6_, 1920x1080, yuv422p, 59.445602123, -0.9150698160929134, 28.8000138805, 0.860901898421, 0.870506220359
content_6_seq_5, cont_6_, 1920x1080, yuv422p, 46.0711783732, -0.8645176986557164, 29.6380110606, 0.893117707963, 0.895928733001
content_6_seq_4, cont_6_, 1920x1080, yuv422p, 61.5304237977, -0.8069170219158527, 29.0314426187, 0.865678517995, 0.874215624495
content_6_seq_6, cont_6_, 1920x1080, yuv422p, 45.6792767359, -0.3739662460822944, 29.3661445296, 0.883393095928, 0.888092600953
content_6_seq_2, cont_6_, 1920x1080, yuv422p, 55.5605142259, -1.030566177519256, 28.407788655, 0.85298538769, 0.864163249385
content_6_seq_0, cont_6_, 1920x1080, yuv422p, 79.2092025591, 1.06670417641504, 31.6278386666, 0.940660320495, 0.935718943848
